item_rand,rep,block,swahili,english,alpha,ID,diff,trial,instruct
7,0,1,bibi,grandmother,0.175557576,34,easy,1,0
7,1,1,bibi,grandmother,0.175557576,34,easy,1,0
7,2,1,bibi,grandmother,0.175557576,34,easy,1,0
7,3,1,bibi,grandmother,0.175557576,34,easy,1,0
