"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct"
5,0,1,"kiti","chair",0.222518181818182,"68","easy",1,0
3,0,1,"ufu","death",0.170078787878788,"75","easy",2,0
9,0,1,"fasihi","book",0.386646268656716,"12","difficult",3,0
1,0,1,"siri","secret",0.191309230769231,"49","easy",4,0
14,0,1,"chanjo","scissors",0.351680597014926,"26","difficult",5,0
15,0,1,"likizo","holays",0.307474242424242,"17","difficult",6,0
12,0,1,"kamba","rope",0.355907575757576,"62","difficult",7,0
10,0,1,"sauti","voice",0.3337796875,"14","difficult",8,0
7,0,1,"bustani","garden",0.207198461538461,"48","easy",9,0
16,0,1,"kichwa","head",0.3271421875,"46","difficult",10,0
4,0,1,"lugha","language",0.211571212121212,"25","easy",11,0
2,0,1,"maji","ice",0.223059090909091,"72","easy",12,0
11,0,1,"askari","police",0.347927272727273,"9","difficult",13,0
8,0,1,"skati","skirt",0.167559090909091,"37","easy",14,0
6,0,1,"mbwa","dog",0.18435303030303,"29","easy",15,0
13,0,1,"chama","society",0.315827272727273,"50","difficult",16,0
7,1,1,"bustani","garden",0.207198461538461,"48","easy",17,0
16,1,1,"kichwa","head",0.3271421875,"46","difficult",18,0
15,1,1,"likizo","holays",0.307474242424242,"17","difficult",19,0
9,1,1,"fasihi","book",0.386646268656716,"12","difficult",20,0
5,1,1,"kiti","chair",0.222518181818182,"68","easy",21,0
1,1,1,"siri","secret",0.191309230769231,"49","easy",22,0
2,1,1,"maji","ice",0.223059090909091,"72","easy",23,0
12,1,1,"kamba","rope",0.355907575757576,"62","difficult",24,0
11,1,1,"askari","police",0.347927272727273,"9","difficult",25,0
14,1,1,"chanjo","scissors",0.351680597014926,"26","difficult",26,0
8,1,1,"skati","skirt",0.167559090909091,"37","easy",27,0
3,1,1,"ufu","death",0.170078787878788,"75","easy",28,0
10,1,1,"sauti","voice",0.3337796875,"14","difficult",29,0
6,1,1,"mbwa","dog",0.18435303030303,"29","easy",30,0
