"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct"
13,0,1,"chunga","pot",0.369626865671642,"36","difficult",1,0
4,0,1,"dhoruba","storm",0.216794029850746,"63","easy",2,0
12,0,1,"kijana","boy",0.353060606060606,"64","difficult",3,0
16,0,1,"karamu","party",0.344718181818182,"32","difficult",4,0
14,0,1,"kitanda","bed",0.368722388059701,"69","difficult",5,0
3,0,1,"tofaa","apple",0.200788059701493,"67","easy",6,0
2,0,1,"ufu","death",0.170078787878788,"75","easy",7,0
6,0,1,"bibi","grandmother",0.175557575757576,"34","easy",8,0
5,0,1,"basi","bus",0.209593846153846,"57","easy",9,0
9,0,1,"kamba","rope",0.355907575757576,"62","difficult",10,0
11,0,1,"askari","police",0.347927272727273,"9","difficult",11,0
7,0,1,"skati","skirt",0.167559090909091,"37","easy",12,0
8,0,1,"lango","door",0.219891044776119,"45","easy",13,0
15,0,1,"kichwa","head",0.3271421875,"46","difficult",14,0
1,0,1,"adhama","honor",0.225168181818182,"33","easy",15,0
10,0,1,"chama","society",0.315827272727273,"50","difficult",16,0
12,1,1,"kijana","boy",0.353060606060606,"64","difficult",17,0
3,1,1,"tofaa","apple",0.200788059701493,"67","easy",18,0
2,1,1,"ufu","death",0.170078787878788,"75","easy",19,0
9,1,1,"kamba","rope",0.355907575757576,"62","difficult",20,0
4,1,1,"dhoruba","storm",0.216794029850746,"63","easy",21,0
11,1,1,"askari","police",0.347927272727273,"9","difficult",22,0
10,1,1,"chama","society",0.315827272727273,"50","difficult",23,0
15,1,1,"kichwa","head",0.3271421875,"46","difficult",24,0
14,1,1,"kitanda","bed",0.368722388059701,"69","difficult",25,0
13,1,1,"chunga","pot",0.369626865671642,"36","difficult",26,0
5,1,1,"basi","bus",0.209593846153846,"57","easy",27,0
1,1,1,"adhama","honor",0.225168181818182,"33","easy",28,0
6,1,1,"bibi","grandmother",0.175557575757576,"34","easy",29,0
8,1,1,"lango","door",0.219891044776119,"45","easy",30,0
16,1,1,"karamu","party",0.344718181818182,"32","difficult",31,0
7,1,1,"skati","skirt",0.167559090909091,"37","easy",32,0
2,2,1,"ufu","death",0.170078787878788,"75","easy",33,0
10,2,1,"chama","society",0.315827272727273,"50","difficult",34,0
3,2,1,"tofaa","apple",0.200788059701493,"67","easy",35,0
14,2,1,"kitanda","bed",0.368722388059701,"69","difficult",36,0
15,2,1,"kichwa","head",0.3271421875,"46","difficult",37,0
16,2,1,"karamu","party",0.344718181818182,"32","difficult",38,0
5,2,1,"basi","bus",0.209593846153846,"57","easy",39,0
8,2,1,"lango","door",0.219891044776119,"45","easy",40,0
