"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct"
12,0,1,"kichwa","head",0.3271421875,"46","difficult",1,0
14,0,1,"likizo","holays",0.307474242424242,"17","difficult",2,0
9,0,1,"sauti","voice",0.3337796875,"14","difficult",3,0
2,0,1,"degaga","glasses",0.207071212121212,"54","easy",4,0
6,0,1,"tofaa","apple",0.200788059701493,"67","easy",5,0
3,0,1,"saduku","box",0.212204615384615,"73","easy",6,0
1,0,1,"kiti","chair",0.222518181818182,"68","easy",7,0
7,0,1,"bibi","grandmother",0.175557575757576,"34","easy",8,0
15,0,1,"chunga","pot",0.369626865671642,"36","difficult",9,0
13,0,1,"karamu","party",0.344718181818182,"32","difficult",10,0
10,0,1,"chanjo","scissors",0.351680597014926,"26","difficult",11,0
11,0,1,"samaki","fish",0.294386567164179,"3","difficult",12,0
16,0,1,"maslahi","interest",0.305624242424242,"56","difficult",13,0
5,0,1,"skati","skirt",0.167559090909091,"37","easy",14,0
8,0,1,"lango","door",0.219891044776119,"45","easy",15,0
4,0,1,"limau","lemon",0.158680303030303,"61","easy",16,0
6,1,1,"tofaa","apple",0.200788059701493,"67","easy",17,0
2,1,1,"degaga","glasses",0.207071212121212,"54","easy",18,0
1,1,1,"kiti","chair",0.222518181818182,"68","easy",19,0
13,1,1,"karamu","party",0.344718181818182,"32","difficult",20,0
14,1,1,"likizo","holays",0.307474242424242,"17","difficult",21,0
5,1,1,"skati","skirt",0.167559090909091,"37","easy",22,0
7,1,1,"bibi","grandmother",0.175557575757576,"34","easy",23,0
11,1,1,"samaki","fish",0.294386567164179,"3","difficult",24,0
10,1,1,"chanjo","scissors",0.351680597014926,"26","difficult",25,0
9,1,1,"sauti","voice",0.3337796875,"14","difficult",26,0
15,1,1,"chunga","pot",0.369626865671642,"36","difficult",27,0
12,1,1,"kichwa","head",0.3271421875,"46","difficult",28,0
16,1,1,"maslahi","interest",0.305624242424242,"56","difficult",29,0
4,1,1,"limau","lemon",0.158680303030303,"61","easy",30,0
8,1,1,"lango","door",0.219891044776119,"45","easy",31,0
3,1,1,"saduku","box",0.212204615384615,"73","easy",32,0
14,2,1,"likizo","holays",0.307474242424242,"17","difficult",33,0
1,2,1,"kiti","chair",0.222518181818182,"68","easy",34,0
10,2,1,"chanjo","scissors",0.351680597014926,"26","difficult",35,0
6,2,1,"tofaa","apple",0.200788059701493,"67","easy",36,0
5,2,1,"skati","skirt",0.167559090909091,"37","easy",37,0
2,2,1,"degaga","glasses",0.207071212121212,"54","easy",38,0
9,2,1,"sauti","voice",0.3337796875,"14","difficult",39,0
7,2,1,"bibi","grandmother",0.175557575757576,"34","easy",40,0
8,2,1,"lango","door",0.219891044776119,"45","easy",41,0
3,2,1,"saduku","box",0.212204615384615,"73","easy",42,0
12,2,1,"kichwa","head",0.3271421875,"46","difficult",43,0
4,2,1,"limau","lemon",0.158680303030303,"61","easy",44,0
16,2,1,"maslahi","interest",0.305624242424242,"56","difficult",45,0
11,2,1,"samaki","fish",0.294386567164179,"3","difficult",46,0
13,2,1,"karamu","party",0.344718181818182,"32","difficult",47,0
15,2,1,"chunga","pot",0.369626865671642,"36","difficult",48,0
6,3,1,"tofaa","apple",0.200788059701493,"67","easy",49,0
10,3,1,"chanjo","scissors",0.351680597014926,"26","difficult",50,0
14,3,1,"likizo","holays",0.307474242424242,"17","difficult",51,0
9,3,1,"sauti","voice",0.3337796875,"14","difficult",52,0
8,3,1,"lango","door",0.219891044776119,"45","easy",53,0
11,3,1,"samaki","fish",0.294386567164179,"3","difficult",54,0
3,3,1,"saduku","box",0.212204615384615,"73","easy",55,0
12,3,1,"kichwa","head",0.3271421875,"46","difficult",56,0
7,3,1,"bibi","grandmother",0.175557575757576,"34","easy",57,0
13,3,1,"karamu","party",0.344718181818182,"32","difficult",58,0
16,3,1,"maslahi","interest",0.305624242424242,"56","difficult",59,0
2,3,1,"degaga","glasses",0.207071212121212,"54","easy",60,0
5,3,1,"skati","skirt",0.167559090909091,"37","easy",61,0
