"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct"
14,0,1,"kijana","boy",0.353060606060606,"64","difficult",1,0
4,0,1,"lango","door",0.219891044776119,"45","easy",2,0
2,0,1,"kiti","chair",0.222518181818182,"68","easy",3,0
12,0,1,"sauti","voice",0.3337796875,"14","difficult",4,0
3,0,1,"baskeli","bike",0.214457575757576,"20","easy",5,0
11,0,1,"fasihi","book",0.386646268656716,"12","difficult",6,0
8,0,1,"limau","lemon",0.158680303030303,"61","easy",7,0
6,0,1,"degaga","glasses",0.207071212121212,"54","easy",8,0
10,0,1,"kitanda","bed",0.368722388059701,"69","difficult",9,0
7,0,1,"dhoruba","storm",0.216794029850746,"63","easy",10,0
15,0,1,"tunda","fruit",0.287647692307692,"22","difficult",11,0
5,0,1,"lugha","language",0.211571212121212,"25","easy",12,0
16,0,1,"karamu","party",0.344718181818182,"32","difficult",13,0
13,0,1,"kichwa","head",0.3271421875,"46","difficult",14,0
9,0,1,"likizo","holays",0.307474242424242,"17","difficult",15,0
1,0,1,"saduku","box",0.212204615384615,"73","easy",16,0
2,1,1,"kiti","chair",0.222518181818182,"68","easy",17,0
3,1,1,"baskeli","bike",0.214457575757576,"20","easy",18,0
12,1,1,"sauti","voice",0.3337796875,"14","difficult",19,0
14,1,1,"kijana","boy",0.353060606060606,"64","difficult",20,0
11,1,1,"fasihi","book",0.386646268656716,"12","difficult",21,0
8,1,1,"limau","lemon",0.158680303030303,"61","easy",22,0
10,1,1,"kitanda","bed",0.368722388059701,"69","difficult",23,0
13,1,1,"kichwa","head",0.3271421875,"46","difficult",24,0
7,1,1,"dhoruba","storm",0.216794029850746,"63","easy",25,0
5,1,1,"lugha","language",0.211571212121212,"25","easy",26,0
9,1,1,"likizo","holays",0.307474242424242,"17","difficult",27,0
1,1,1,"saduku","box",0.212204615384615,"73","easy",28,0
15,1,1,"tunda","fruit",0.287647692307692,"22","difficult",29,0
16,1,1,"karamu","party",0.344718181818182,"32","difficult",30,0
6,1,1,"degaga","glasses",0.207071212121212,"54","easy",31,0
4,1,1,"lango","door",0.219891044776119,"45","easy",32,0
2,2,1,"kiti","chair",0.222518181818182,"68","easy",33,0
10,2,1,"kitanda","bed",0.368722388059701,"69","difficult",34,0
11,2,1,"fasihi","book",0.386646268656716,"12","difficult",35,0
12,2,1,"sauti","voice",0.3337796875,"14","difficult",36,0
13,2,1,"kichwa","head",0.3271421875,"46","difficult",37,0
6,2,1,"degaga","glasses",0.207071212121212,"54","easy",38,0
3,2,1,"baskeli","bike",0.214457575757576,"20","easy",39,0
5,2,1,"lugha","language",0.211571212121212,"25","easy",40,0
7,2,1,"dhoruba","storm",0.216794029850746,"63","easy",41,0
8,2,1,"limau","lemon",0.158680303030303,"61","easy",42,0
16,2,1,"karamu","party",0.344718181818182,"32","difficult",43,0
1,2,1,"saduku","box",0.212204615384615,"73","easy",44,0
15,2,1,"tunda","fruit",0.287647692307692,"22","difficult",45,0
14,2,1,"kijana","boy",0.353060606060606,"64","difficult",46,0
4,2,1,"lango","door",0.219891044776119,"45","easy",47,0
9,2,1,"likizo","holays",0.307474242424242,"17","difficult",48,0
10,3,1,"kitanda","bed",0.368722388059701,"69","difficult",49,0
11,3,1,"fasihi","book",0.386646268656716,"12","difficult",50,0
6,3,1,"degaga","glasses",0.207071212121212,"54","easy",51,0
3,3,1,"baskeli","bike",0.214457575757576,"20","easy",52,0
13,3,1,"kichwa","head",0.3271421875,"46","difficult",53,0
1,3,1,"saduku","box",0.212204615384615,"73","easy",54,0
12,3,1,"sauti","voice",0.3337796875,"14","difficult",55,0
4,3,1,"lango","door",0.219891044776119,"45","easy",56,0
5,3,1,"lugha","language",0.211571212121212,"25","easy",57,0
9,3,1,"likizo","holays",0.307474242424242,"17","difficult",58,0
15,3,1,"tunda","fruit",0.287647692307692,"22","difficult",59,0
14,3,1,"kijana","boy",0.353060606060606,"64","difficult",60,0
16,3,1,"karamu","party",0.344718181818182,"32","difficult",61,0
2,3,1,"kiti","chair",0.222518181818182,"68","easy",62,0
8,3,1,"limau","lemon",0.158680303030303,"61","easy",63,0
7,3,1,"dhoruba","storm",0.216794029850746,"63","easy",64,0
6,4,1,"degaga","glasses",0.207071212121212,"54","easy",65,0
3,4,1,"baskeli","bike",0.214457575757576,"20","easy",66,0
12,4,1,"sauti","voice",0.3337796875,"14","difficult",67,0
13,4,1,"kichwa","head",0.3271421875,"46","difficult",68,0
11,4,1,"fasihi","book",0.386646268656716,"12","difficult",69,0
5,4,1,"lugha","language",0.211571212121212,"25","easy",70,0
10,4,1,"kitanda","bed",0.368722388059701,"69","difficult",71,0
4,4,1,"lango","door",0.219891044776119,"45","easy",72,0
8,4,1,"limau","lemon",0.158680303030303,"61","easy",73,0
15,4,1,"tunda","fruit",0.287647692307692,"22","difficult",74,0
2,4,1,"kiti","chair",0.222518181818182,"68","easy",75,0
16,4,1,"karamu","party",0.344718181818182,"32","difficult",76,0
1,4,1,"saduku","box",0.212204615384615,"73","easy",77,0
7,4,1,"dhoruba","storm",0.216794029850746,"63","easy",78,0
14,4,1,"kijana","boy",0.353060606060606,"64","difficult",79,0
9,4,1,"likizo","holays",0.307474242424242,"17","difficult",80,0
5,5,1,"lugha","language",0.211571212121212,"25","easy",81,0
10,5,1,"kitanda","bed",0.368722388059701,"69","difficult",82,0
8,5,1,"limau","lemon",0.158680303030303,"61","easy",83,0
15,5,1,"tunda","fruit",0.287647692307692,"22","difficult",84,0
13,5,1,"kichwa","head",0.3271421875,"46","difficult",85,0
11,5,1,"fasihi","book",0.386646268656716,"12","difficult",86,0
6,5,1,"degaga","glasses",0.207071212121212,"54","easy",87,0
9,5,1,"likizo","holays",0.307474242424242,"17","difficult",88,0
4,5,1,"lango","door",0.219891044776119,"45","easy",89,0
16,5,1,"karamu","party",0.344718181818182,"32","difficult",90,0
14,5,1,"kijana","boy",0.353060606060606,"64","difficult",91,0
12,5,1,"sauti","voice",0.3337796875,"14","difficult",92,0
1,5,1,"saduku","box",0.212204615384615,"73","easy",93,0
3,5,1,"baskeli","bike",0.214457575757576,"20","easy",94,0
2,5,1,"kiti","chair",0.222518181818182,"68","easy",95,0
7,5,1,"dhoruba","storm",0.216794029850746,"63","easy",96,1
21,0,2,"tofaa","apple",0.200788059701493,"67","easy",97,0
19,0,2,"anga","sky",0.222377272727273,"27","easy",98,0
23,0,2,"siri","secret",0.191309230769231,"49","easy",99,0
30,0,2,"chanjo","scissors",0.351680597014926,"26","difficult",100,0
20,0,2,"roho","soul",0.199686567164179,"44","easy",101,0
31,0,2,"maslahi","interest",0.305624242424242,"56","difficult",102,0
17,0,2,"kuku","chicken",0.183198461538461,"11","easy",103,0
22,0,2,"pombe","beer",0.178725757575757,"2","easy",104,0
27,0,2,"barua","letter",0.319181818181818,"31","difficult",105,0
28,0,2,"ajabu","wonder",0.315165151515151,"52","difficult",106,0
29,0,2,"kamba","rope",0.355907575757576,"62","difficult",107,0
