"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct"
14,0,1,"duara","wheel",0.287497014925373,"19","difficult",1,0
9,0,1,"afisi","office",0.34374,"5","difficult",2,0
7,0,1,"baba","father",0.157121212121212,"59","easy",3,0
1,0,1,"mbwa","dog",0.18435303030303,"29","easy",4,0
2,0,1,"limau","lemon",0.158680303030303,"61","easy",5,0
10,0,1,"tumaini","hope",0.302354545454546,"53","difficult",6,0
16,0,1,"fasihi","book",0.386646268656716,"12","difficult",7,0
15,0,1,"likizo","holays",0.307474242424242,"17","difficult",8,0
4,0,1,"skati","skirt",0.167559090909091,"37","easy",9,0
6,0,1,"tofaa","apple",0.200788059701493,"67","easy",10,0
5,0,1,"pombe","beer",0.178725757575757,"2","easy",11,0
3,0,1,"dhoruba","storm",0.216794029850746,"63","easy",12,0
8,0,1,"jicho","eye",0.210024615384615,"7","easy",13,0
11,0,1,"tunda","fruit",0.287647692307692,"22","difficult",14,0
12,0,1,"sauti","voice",0.3337796875,"14","difficult",15,0
13,0,1,"askari","police",0.347927272727273,"9","difficult",16,0
14,1,1,"duara","wheel",0.287497014925373,"19","difficult",17,0
9,1,1,"afisi","office",0.34374,"5","difficult",18,0
2,1,1,"limau","lemon",0.158680303030303,"61","easy",19,0
6,1,1,"tofaa","apple",0.200788059701493,"67","easy",20,0
7,1,1,"baba","father",0.157121212121212,"59","easy",21,0
4,1,1,"skati","skirt",0.167559090909091,"37","easy",22,0
11,1,1,"tunda","fruit",0.287647692307692,"22","difficult",23,0
3,1,1,"dhoruba","storm",0.216794029850746,"63","easy",24,0
15,1,1,"likizo","holays",0.307474242424242,"17","difficult",25,0
12,1,1,"sauti","voice",0.3337796875,"14","difficult",26,0
13,1,1,"askari","police",0.347927272727273,"9","difficult",27,0
8,1,1,"jicho","eye",0.210024615384615,"7","easy",28,0
16,1,1,"fasihi","book",0.386646268656716,"12","difficult",29,0
5,1,1,"pombe","beer",0.178725757575757,"2","easy",30,0
10,1,1,"tumaini","hope",0.302354545454546,"53","difficult",31,0
1,1,1,"mbwa","dog",0.18435303030303,"29","easy",32,0
6,2,1,"tofaa","apple",0.200788059701493,"67","easy",33,0
11,2,1,"tunda","fruit",0.287647692307692,"22","difficult",34,0
2,2,1,"limau","lemon",0.158680303030303,"61","easy",35,0
14,2,1,"duara","wheel",0.287497014925373,"19","difficult",36,0
3,2,1,"dhoruba","storm",0.216794029850746,"63","easy",37,0
10,2,1,"tumaini","hope",0.302354545454546,"53","difficult",38,0
13,2,1,"askari","police",0.347927272727273,"9","difficult",39,0
12,2,1,"sauti","voice",0.3337796875,"14","difficult",40,0
7,2,1,"baba","father",0.157121212121212,"59","easy",41,0
4,2,1,"skati","skirt",0.167559090909091,"37","easy",42,0
9,2,1,"afisi","office",0.34374,"5","difficult",43,0
1,2,1,"mbwa","dog",0.18435303030303,"29","easy",44,0
15,2,1,"likizo","holays",0.307474242424242,"17","difficult",45,0
5,2,1,"pombe","beer",0.178725757575757,"2","easy",46,0
8,2,1,"jicho","eye",0.210024615384615,"7","easy",47,0
16,2,1,"fasihi","book",0.386646268656716,"12","difficult",48,0
14,3,1,"duara","wheel",0.287497014925373,"19","difficult",49,0
2,3,1,"limau","lemon",0.158680303030303,"61","easy",50,0
3,3,1,"dhoruba","storm",0.216794029850746,"63","easy",51,0
11,3,1,"tunda","fruit",0.287647692307692,"22","difficult",52,0
12,3,1,"sauti","voice",0.3337796875,"14","difficult",53,0
8,3,1,"jicho","eye",0.210024615384615,"7","easy",54,0
5,3,1,"pombe","beer",0.178725757575757,"2","easy",55,0
13,3,1,"askari","police",0.347927272727273,"9","difficult",56,0
4,3,1,"skati","skirt",0.167559090909091,"37","easy",57,0
7,3,1,"baba","father",0.157121212121212,"59","easy",58,0
15,3,1,"likizo","holays",0.307474242424242,"17","difficult",59,0
16,3,1,"fasihi","book",0.386646268656716,"12","difficult",60,0
10,3,1,"tumaini","hope",0.302354545454546,"53","difficult",61,0
6,3,1,"tofaa","apple",0.200788059701493,"67","easy",62,0
1,3,1,"mbwa","dog",0.18435303030303,"29","easy",63,0
9,3,1,"afisi","office",0.34374,"5","difficult",64,0
11,4,1,"tunda","fruit",0.287647692307692,"22","difficult",65,0
2,4,1,"limau","lemon",0.158680303030303,"61","easy",66,0
12,4,1,"sauti","voice",0.3337796875,"14","difficult",67,0
7,4,1,"baba","father",0.157121212121212,"59","easy",68,0
14,4,1,"duara","wheel",0.287497014925373,"19","difficult",69,0
10,4,1,"tumaini","hope",0.302354545454546,"53","difficult",70,0
8,4,1,"jicho","eye",0.210024615384615,"7","easy",71,0
9,4,1,"afisi","office",0.34374,"5","difficult",72,0
4,4,1,"skati","skirt",0.167559090909091,"37","easy",73,0
5,4,1,"pombe","beer",0.178725757575757,"2","easy",74,0
13,4,1,"askari","police",0.347927272727273,"9","difficult",75,0
1,4,1,"mbwa","dog",0.18435303030303,"29","easy",76,0
6,4,1,"tofaa","apple",0.200788059701493,"67","easy",77,0
15,4,1,"likizo","holays",0.307474242424242,"17","difficult",78,0
16,4,1,"fasihi","book",0.386646268656716,"12","difficult",79,0
3,4,1,"dhoruba","storm",0.216794029850746,"63","easy",80,0
7,5,1,"baba","father",0.157121212121212,"59","easy",81,0
14,5,1,"duara","wheel",0.287497014925373,"19","difficult",82,0
12,5,1,"sauti","voice",0.3337796875,"14","difficult",83,0
8,5,1,"jicho","eye",0.210024615384615,"7","easy",84,0
5,5,1,"pombe","beer",0.178725757575757,"2","easy",85,0
6,5,1,"tofaa","apple",0.200788059701493,"67","easy",86,0
3,5,1,"dhoruba","storm",0.216794029850746,"63","easy",87,0
15,5,1,"likizo","holays",0.307474242424242,"17","difficult",88,0
16,5,1,"fasihi","book",0.386646268656716,"12","difficult",89,0
1,5,1,"mbwa","dog",0.18435303030303,"29","easy",90,0
13,5,1,"askari","police",0.347927272727273,"9","difficult",91,0
9,5,1,"afisi","office",0.34374,"5","difficult",92,0
2,5,1,"limau","lemon",0.158680303030303,"61","easy",93,0
10,5,1,"tumaini","hope",0.302354545454546,"53","difficult",94,0
11,5,1,"tunda","fruit",0.287647692307692,"22","difficult",95,0
4,5,1,"skati","skirt",0.167559090909091,"37","easy",96,1
21,0,2,"kuku","chicken",0.183198461538461,"11","easy",97,0
28,0,2,"chunga","pot",0.369626865671642,"36","difficult",98,0
27,0,2,"ajabu","wonder",0.315165151515151,"52","difficult",99,0
20,0,2,"anga","sky",0.222377272727273,"27","easy",100,0
18,0,2,"basi","bus",0.209593846153846,"57","easy",101,0
17,0,2,"lango","door",0.219891044776119,"45","easy",102,0
29,0,2,"kichwa","head",0.3271421875,"46","difficult",103,0
23,0,2,"degaga","glasses",0.207071212121212,"54","easy",104,0
19,0,2,"roho","soul",0.199686567164179,"44","easy",105,0
32,0,2,"duka","shop",0.294655384615385,"24","difficult",106,0
24,0,2,"lugha","language",0.211571212121212,"25","easy",107,0
26,0,2,"chanjo","scissors",0.351680597014926,"26","difficult",108,0
31,0,2,"samaki","fish",0.294386567164179,"3","difficult",109,0
25,0,2,"tabibu","doctor",0.275992424242424,"35","difficult",110,0
30,0,2,"chama","society",0.315827272727273,"50","difficult",111,0
22,0,2,"baskeli","bike",0.214457575757576,"20","easy",112,0
28,1,2,"chunga","pot",0.369626865671642,"36","difficult",113,0
19,1,2,"roho","soul",0.199686567164179,"44","easy",114,0
20,1,2,"anga","sky",0.222377272727273,"27","easy",115,0
32,1,2,"duka","shop",0.294655384615385,"24","difficult",116,0
21,1,2,"kuku","chicken",0.183198461538461,"11","easy",117,0
31,1,2,"samaki","fish",0.294386567164179,"3","difficult",118,0
18,1,2,"basi","bus",0.209593846153846,"57","easy",119,0
29,1,2,"kichwa","head",0.3271421875,"46","difficult",120,0
25,1,2,"tabibu","doctor",0.275992424242424,"35","difficult",121,0
26,1,2,"chanjo","scissors",0.351680597014926,"26","difficult",122,0
24,1,2,"lugha","language",0.211571212121212,"25","easy",123,0
30,1,2,"chama","society",0.315827272727273,"50","difficult",124,0
27,1,2,"ajabu","wonder",0.315165151515151,"52","difficult",125,0
17,1,2,"lango","door",0.219891044776119,"45","easy",126,0
22,1,2,"baskeli","bike",0.214457575757576,"20","easy",127,0
23,1,2,"degaga","glasses",0.207071212121212,"54","easy",128,0
29,2,2,"kichwa","head",0.3271421875,"46","difficult",129,0
18,2,2,"basi","bus",0.209593846153846,"57","easy",130,0
20,2,2,"anga","sky",0.222377272727273,"27","easy",131,0
21,2,2,"kuku","chicken",0.183198461538461,"11","easy",132,0
28,2,2,"chunga","pot",0.369626865671642,"36","difficult",133,0
26,2,2,"chanjo","scissors",0.351680597014926,"26","difficult",134,0
25,2,2,"tabibu","doctor",0.275992424242424,"35","difficult",135,0
24,2,2,"lugha","language",0.211571212121212,"25","easy",136,0
27,2,2,"ajabu","wonder",0.315165151515151,"52","difficult",137,0
19,2,2,"roho","soul",0.199686567164179,"44","easy",138,0
17,2,2,"lango","door",0.219891044776119,"45","easy",139,0
32,2,2,"duka","shop",0.294655384615385,"24","difficult",140,0
30,2,2,"chama","society",0.315827272727273,"50","difficult",141,0
22,2,2,"baskeli","bike",0.214457575757576,"20","easy",142,0
23,2,2,"degaga","glasses",0.207071212121212,"54","easy",143,0
31,2,2,"samaki","fish",0.294386567164179,"3","difficult",144,0
24,3,2,"lugha","language",0.211571212121212,"25","easy",145,0
18,3,2,"basi","bus",0.209593846153846,"57","easy",146,0
26,3,2,"chanjo","scissors",0.351680597014926,"26","difficult",147,0
29,3,2,"kichwa","head",0.3271421875,"46","difficult",148,0
27,3,2,"ajabu","wonder",0.315165151515151,"52","difficult",149,0
25,3,2,"tabibu","doctor",0.275992424242424,"35","difficult",150,0
30,3,2,"chama","society",0.315827272727273,"50","difficult",151,0
32,3,2,"duka","shop",0.294655384615385,"24","difficult",152,0
20,3,2,"anga","sky",0.222377272727273,"27","easy",153,0
23,3,2,"degaga","glasses",0.207071212121212,"54","easy",154,0
19,3,2,"roho","soul",0.199686567164179,"44","easy",155,0
31,3,2,"samaki","fish",0.294386567164179,"3","difficult",156,0
17,3,2,"lango","door",0.219891044776119,"45","easy",157,0
22,3,2,"baskeli","bike",0.214457575757576,"20","easy",158,0
21,3,2,"kuku","chicken",0.183198461538461,"11","easy",159,0
28,3,2,"chunga","pot",0.369626865671642,"36","difficult",160,0
25,4,2,"tabibu","doctor",0.275992424242424,"35","difficult",161,0
26,4,2,"chanjo","scissors",0.351680597014926,"26","difficult",162,0
24,4,2,"lugha","language",0.211571212121212,"25","easy",163,0
32,4,2,"duka","shop",0.294655384615385,"24","difficult",164,0
30,4,2,"chama","society",0.315827272727273,"50","difficult",165,0
17,4,2,"lango","door",0.219891044776119,"45","easy",166,0
23,4,2,"degaga","glasses",0.207071212121212,"54","easy",167,0
21,4,2,"kuku","chicken",0.183198461538461,"11","easy",168,0
20,4,2,"anga","sky",0.222377272727273,"27","easy",169,0
18,4,2,"basi","bus",0.209593846153846,"57","easy",170,0
19,4,2,"roho","soul",0.199686567164179,"44","easy",171,0
28,4,2,"chunga","pot",0.369626865671642,"36","difficult",172,0
29,4,2,"kichwa","head",0.3271421875,"46","difficult",173,0
27,4,2,"ajabu","wonder",0.315165151515151,"52","difficult",174,0
22,4,2,"baskeli","bike",0.214457575757576,"20","easy",175,0
31,4,2,"samaki","fish",0.294386567164179,"3","difficult",176,0
30,5,2,"chama","society",0.315827272727273,"50","difficult",177,0
25,5,2,"tabibu","doctor",0.275992424242424,"35","difficult",178,0
24,5,2,"lugha","language",0.211571212121212,"25","easy",179,0
32,5,2,"duka","shop",0.294655384615385,"24","difficult",180,0
21,5,2,"kuku","chicken",0.183198461538461,"11","easy",181,0
20,5,2,"anga","sky",0.222377272727273,"27","easy",182,0
22,5,2,"baskeli","bike",0.214457575757576,"20","easy",183,0
29,5,2,"kichwa","head",0.3271421875,"46","difficult",184,0
23,5,2,"degaga","glasses",0.207071212121212,"54","easy",185,0
18,5,2,"basi","bus",0.209593846153846,"57","easy",186,0
31,5,2,"samaki","fish",0.294386567164179,"3","difficult",187,0
17,5,2,"lango","door",0.219891044776119,"45","easy",188,0
27,5,2,"ajabu","wonder",0.315165151515151,"52","difficult",189,0
26,5,2,"chanjo","scissors",0.351680597014926,"26","difficult",190,0
19,5,2,"roho","soul",0.199686567164179,"44","easy",191,0
28,5,2,"chunga","pot",0.369626865671642,"36","difficult",192,1
45,0,3,"kijana","boy",0.353060606060606,"64","difficult",193,0
34,0,3,"maji","ice",0.223059090909091,"72","easy",194,0
44,0,3,"karamu","party",0.344718181818182,"32","difficult",195,0
47,0,3,"maslahi","interest",0.305624242424242,"56","difficult",196,0
40,0,3,"saduku","box",0.212204615384615,"73","easy",197,0
43,0,3,"wimbo","song",0.307741538461538,"13","difficult",198,0
39,0,3,"adhama","honor",0.225168181818182,"33","easy",199,0
36,0,3,"kiti","chair",0.222518181818182,"68","easy",200,0
35,0,3,"bibi","grandmother",0.175557575757576,"34","easy",201,0
37,0,3,"bustani","garden",0.207198461538461,"48","easy",202,0
33,0,3,"ufu","death",0.170078787878788,"75","easy",203,0
38,0,3,"siri","secret",0.191309230769231,"49","easy",204,0
42,0,3,"kanisa","church",0.399588059701493,"51","difficult",205,0
46,0,3,"kitanda","bed",0.368722388059701,"69","difficult",206,0
41,0,3,"kamba","rope",0.355907575757576,"62","difficult",207,0
48,0,3,"barua","letter",0.319181818181818,"31","difficult",208,0
40,1,3,"saduku","box",0.212204615384615,"73","easy",209,0
36,1,3,"kiti","chair",0.222518181818182,"68","easy",210,0
34,1,3,"maji","ice",0.223059090909091,"72","easy",211,0
35,1,3,"bibi","grandmother",0.175557575757576,"34","easy",212,0
45,1,3,"kijana","boy",0.353060606060606,"64","difficult",213,0
38,1,3,"siri","secret",0.191309230769231,"49","easy",214,0
48,1,3,"barua","letter",0.319181818181818,"31","difficult",215,0
43,1,3,"wimbo","song",0.307741538461538,"13","difficult",216,0
39,1,3,"adhama","honor",0.225168181818182,"33","easy",217,0
41,1,3,"kamba","rope",0.355907575757576,"62","difficult",218,0
44,1,3,"karamu","party",0.344718181818182,"32","difficult",219,0
37,1,3,"bustani","garden",0.207198461538461,"48","easy",220,0
47,1,3,"maslahi","interest",0.305624242424242,"56","difficult",221,0
33,1,3,"ufu","death",0.170078787878788,"75","easy",222,0
46,1,3,"kitanda","bed",0.368722388059701,"69","difficult",223,0
42,1,3,"kanisa","church",0.399588059701493,"51","difficult",224,0
36,2,3,"kiti","chair",0.222518181818182,"68","easy",225,0
38,2,3,"siri","secret",0.191309230769231,"49","easy",226,0
39,2,3,"adhama","honor",0.225168181818182,"33","easy",227,0
40,2,3,"saduku","box",0.212204615384615,"73","easy",228,0
48,2,3,"barua","letter",0.319181818181818,"31","difficult",229,0
37,2,3,"bustani","garden",0.207198461538461,"48","easy",230,0
42,2,3,"kanisa","church",0.399588059701493,"51","difficult",231,0
46,2,3,"kitanda","bed",0.368722388059701,"69","difficult",232,0
43,2,3,"wimbo","song",0.307741538461538,"13","difficult",233,0
47,2,3,"maslahi","interest",0.305624242424242,"56","difficult",234,0
45,2,3,"kijana","boy",0.353060606060606,"64","difficult",235,0
33,2,3,"ufu","death",0.170078787878788,"75","easy",236,0
44,2,3,"karamu","party",0.344718181818182,"32","difficult",237,0
34,2,3,"maji","ice",0.223059090909091,"72","easy",238,0
35,2,3,"bibi","grandmother",0.175557575757576,"34","easy",239,0
41,2,3,"kamba","rope",0.355907575757576,"62","difficult",240,0
40,3,3,"saduku","box",0.212204615384615,"73","easy",241,0
38,3,3,"siri","secret",0.191309230769231,"49","easy",242,0
47,3,3,"maslahi","interest",0.305624242424242,"56","difficult",243,0
39,3,3,"adhama","honor",0.225168181818182,"33","easy",244,0
42,3,3,"kanisa","church",0.399588059701493,"51","difficult",245,0
46,3,3,"kitanda","bed",0.368722388059701,"69","difficult",246,0
45,3,3,"kijana","boy",0.353060606060606,"64","difficult",247,0
43,3,3,"wimbo","song",0.307741538461538,"13","difficult",248,0
41,3,3,"kamba","rope",0.355907575757576,"62","difficult",249,0
44,3,3,"karamu","party",0.344718181818182,"32","difficult",250,0
35,3,3,"bibi","grandmother",0.175557575757576,"34","easy",251,0
