"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct"
6,0,1,"jicho","eye",0.210024615384615,"7","easy",1,0
14,0,1,"fasihi","book",0.386646268656716,"12","difficult",2,0
9,0,1,"kichwa","head",0.3271421875,"46","difficult",3,0
16,0,1,"wimbo","song",0.307741538461538,"13","difficult",4,0
13,0,1,"duara","wheel",0.287497014925373,"19","difficult",5,0
11,0,1,"kanisa","church",0.399588059701493,"51","difficult",6,0
4,0,1,"bibi","grandmother",0.175557575757576,"34","easy",7,0
7,0,1,"tofaa","apple",0.200788059701493,"67","easy",8,0
1,0,1,"lugha","language",0.211571212121212,"25","easy",9,0
8,0,1,"adhama","honor",0.225168181818182,"33","easy",10,0
3,0,1,"anga","sky",0.222377272727273,"27","easy",11,0
10,0,1,"sauti","voice",0.3337796875,"14","difficult",12,0
5,0,1,"skati","skirt",0.167559090909091,"37","easy",13,0
12,0,1,"duka","shop",0.294655384615385,"24","difficult",14,0
15,0,1,"afisi","office",0.34374,"5","difficult",15,0
2,0,1,"baba","father",0.157121212121212,"59","easy",16,0
13,1,1,"duara","wheel",0.287497014925373,"19","difficult",17,0
9,1,1,"kichwa","head",0.3271421875,"46","difficult",18,0
7,1,1,"tofaa","apple",0.200788059701493,"67","easy",19,0
16,1,1,"wimbo","song",0.307741538461538,"13","difficult",20,0
8,1,1,"adhama","honor",0.225168181818182,"33","easy",21,0
10,1,1,"sauti","voice",0.3337796875,"14","difficult",22,0
5,1,1,"skati","skirt",0.167559090909091,"37","easy",23,0
12,1,1,"duka","shop",0.294655384615385,"24","difficult",24,0
2,1,1,"baba","father",0.157121212121212,"59","easy",25,0
15,1,1,"afisi","office",0.34374,"5","difficult",26,0
4,1,1,"bibi","grandmother",0.175557575757576,"34","easy",27,0
11,1,1,"kanisa","church",0.399588059701493,"51","difficult",28,0
14,1,1,"fasihi","book",0.386646268656716,"12","difficult",29,0
6,1,1,"jicho","eye",0.210024615384615,"7","easy",30,0
3,1,1,"anga","sky",0.222377272727273,"27","easy",31,0
1,1,1,"lugha","language",0.211571212121212,"25","easy",32,0
9,2,1,"kichwa","head",0.3271421875,"46","difficult",33,0
8,2,1,"adhama","honor",0.225168181818182,"33","easy",34,0
13,2,1,"duara","wheel",0.287497014925373,"19","difficult",35,0
5,2,1,"skati","skirt",0.167559090909091,"37","easy",36,0
15,2,1,"afisi","office",0.34374,"5","difficult",37,0
1,2,1,"lugha","language",0.211571212121212,"25","easy",38,0
11,2,1,"kanisa","church",0.399588059701493,"51","difficult",39,0
2,2,1,"baba","father",0.157121212121212,"59","easy",40,0
14,2,1,"fasihi","book",0.386646268656716,"12","difficult",41,0
10,2,1,"sauti","voice",0.3337796875,"14","difficult",42,0
16,2,1,"wimbo","song",0.307741538461538,"13","difficult",43,0
6,2,1,"jicho","eye",0.210024615384615,"7","easy",44,0
12,2,1,"duka","shop",0.294655384615385,"24","difficult",45,0
3,2,1,"anga","sky",0.222377272727273,"27","easy",46,0
4,2,1,"bibi","grandmother",0.175557575757576,"34","easy",47,0
7,2,1,"tofaa","apple",0.200788059701493,"67","easy",48,0
1,3,1,"lugha","language",0.211571212121212,"25","easy",49,0
9,3,1,"kichwa","head",0.3271421875,"46","difficult",50,0
13,3,1,"duara","wheel",0.287497014925373,"19","difficult",51,0
11,3,1,"kanisa","church",0.399588059701493,"51","difficult",52,0
15,3,1,"afisi","office",0.34374,"5","difficult",53,0
12,3,1,"duka","shop",0.294655384615385,"24","difficult",54,0
6,3,1,"jicho","eye",0.210024615384615,"7","easy",55,0
5,3,1,"skati","skirt",0.167559090909091,"37","easy",56,0
7,3,1,"tofaa","apple",0.200788059701493,"67","easy",57,0
10,3,1,"sauti","voice",0.3337796875,"14","difficult",58,0
14,3,1,"fasihi","book",0.386646268656716,"12","difficult",59,0
8,3,1,"adhama","honor",0.225168181818182,"33","easy",60,0
16,3,1,"wimbo","song",0.307741538461538,"13","difficult",61,0
2,3,1,"baba","father",0.157121212121212,"59","easy",62,0
3,3,1,"anga","sky",0.222377272727273,"27","easy",63,0
4,3,1,"bibi","grandmother",0.175557575757576,"34","easy",64,0
6,4,1,"jicho","eye",0.210024615384615,"7","easy",65,0
10,4,1,"sauti","voice",0.3337796875,"14","difficult",66,0
15,4,1,"afisi","office",0.34374,"5","difficult",67,0
7,4,1,"tofaa","apple",0.200788059701493,"67","easy",68,0
11,4,1,"kanisa","church",0.399588059701493,"51","difficult",69,0
4,4,1,"bibi","grandmother",0.175557575757576,"34","easy",70,0
12,4,1,"duka","shop",0.294655384615385,"24","difficult",71,0
8,4,1,"adhama","honor",0.225168181818182,"33","easy",72,0
13,4,1,"duara","wheel",0.287497014925373,"19","difficult",73,0
3,4,1,"anga","sky",0.222377272727273,"27","easy",74,0
5,4,1,"skati","skirt",0.167559090909091,"37","easy",75,0
1,4,1,"lugha","language",0.211571212121212,"25","easy",76,0
14,4,1,"fasihi","book",0.386646268656716,"12","difficult",77,0
2,4,1,"baba","father",0.157121212121212,"59","easy",78,0
9,4,1,"kichwa","head",0.3271421875,"46","difficult",79,0
16,4,1,"wimbo","song",0.307741538461538,"13","difficult",80,0
4,5,1,"bibi","grandmother",0.175557575757576,"34","easy",81,0
11,5,1,"kanisa","church",0.399588059701493,"51","difficult",82,0
15,5,1,"afisi","office",0.34374,"5","difficult",83,0
10,5,1,"sauti","voice",0.3337796875,"14","difficult",84,0
13,5,1,"duara","wheel",0.287497014925373,"19","difficult",85,0
16,5,1,"wimbo","song",0.307741538461538,"13","difficult",86,0
3,5,1,"anga","sky",0.222377272727273,"27","easy",87,0
1,5,1,"lugha","language",0.211571212121212,"25","easy",88,0
9,5,1,"kichwa","head",0.3271421875,"46","difficult",89,0
14,5,1,"fasihi","book",0.386646268656716,"12","difficult",90,0
5,5,1,"skati","skirt",0.167559090909091,"37","easy",91,0
2,5,1,"baba","father",0.157121212121212,"59","easy",92,0
8,5,1,"adhama","honor",0.225168181818182,"33","easy",93,0
7,5,1,"tofaa","apple",0.200788059701493,"67","easy",94,0
12,5,1,"duka","shop",0.294655384615385,"24","difficult",95,0
6,5,1,"jicho","eye",0.210024615384615,"7","easy",96,1
32,0,2,"tumaini","hope",0.302354545454546,"53","difficult",97,0
30,0,2,"ajabu","wonder",0.315165151515151,"52","difficult",98,0
28,0,2,"barua","letter",0.319181818181818,"31","difficult",99,0
31,0,2,"karamu","party",0.344718181818182,"32","difficult",100,0
19,0,2,"roho","soul",0.199686567164179,"44","easy",101,0
20,0,2,"ufu","death",0.170078787878788,"75","easy",102,0
23,0,2,"basi","bus",0.209593846153846,"57","easy",103,0
22,0,2,"lango","door",0.219891044776119,"45","easy",104,0
26,0,2,"maslahi","interest",0.305624242424242,"56","difficult",105,0
17,0,2,"kuku","chicken",0.183198461538461,"11","easy",106,0
25,0,2,"samaki","fish",0.294386567164179,"3","difficult",107,0
27,0,2,"kitanda","bed",0.368722388059701,"69","difficult",108,0
21,0,2,"mbwa","dog",0.18435303030303,"29","easy",109,0
29,0,2,"kijana","boy",0.353060606060606,"64","difficult",110,0
24,0,2,"bustani","garden",0.207198461538461,"48","easy",111,0
18,0,2,"baskeli","bike",0.214457575757576,"20","easy",112,0
17,1,2,"kuku","chicken",0.183198461538461,"11","easy",113,0
19,1,2,"roho","soul",0.199686567164179,"44","easy",114,0
23,1,2,"basi","bus",0.209593846153846,"57","easy",115,0
22,1,2,"lango","door",0.219891044776119,"45","easy",116,0
26,1,2,"maslahi","interest",0.305624242424242,"56","difficult",117,0
30,1,2,"ajabu","wonder",0.315165151515151,"52","difficult",118,0
18,1,2,"baskeli","bike",0.214457575757576,"20","easy",119,0
20,1,2,"ufu","death",0.170078787878788,"75","easy",120,0
31,1,2,"karamu","party",0.344718181818182,"32","difficult",121,0
25,1,2,"samaki","fish",0.294386567164179,"3","difficult",122,0
24,1,2,"bustani","garden",0.207198461538461,"48","easy",123,0
32,1,2,"tumaini","hope",0.302354545454546,"53","difficult",124,0
28,1,2,"barua","letter",0.319181818181818,"31","difficult",125,0
29,1,2,"kijana","boy",0.353060606060606,"64","difficult",126,0
21,1,2,"mbwa","dog",0.18435303030303,"29","easy",127,0
27,1,2,"kitanda","bed",0.368722388059701,"69","difficult",128,0
18,2,2,"baskeli","bike",0.214457575757576,"20","easy",129,0
17,2,2,"kuku","chicken",0.183198461538461,"11","easy",130,0
19,2,2,"roho","soul",0.199686567164179,"44","easy",131,0
26,2,2,"maslahi","interest",0.305624242424242,"56","difficult",132,0
30,2,2,"ajabu","wonder",0.315165151515151,"52","difficult",133,0
24,2,2,"bustani","garden",0.207198461538461,"48","easy",134,0
31,2,2,"karamu","party",0.344718181818182,"32","difficult",135,0
23,2,2,"basi","bus",0.209593846153846,"57","easy",136,0
27,2,2,"kitanda","bed",0.368722388059701,"69","difficult",137,0
20,2,2,"ufu","death",0.170078787878788,"75","easy",138,0
25,2,2,"samaki","fish",0.294386567164179,"3","difficult",139,0
29,2,2,"kijana","boy",0.353060606060606,"64","difficult",140,0
28,2,2,"barua","letter",0.319181818181818,"31","difficult",141,0
32,2,2,"tumaini","hope",0.302354545454546,"53","difficult",142,0
21,2,2,"mbwa","dog",0.18435303030303,"29","easy",143,0
22,2,2,"lango","door",0.219891044776119,"45","easy",144,0
31,3,2,"karamu","party",0.344718181818182,"32","difficult",145,0
23,3,2,"basi","bus",0.209593846153846,"57","easy",146,0
24,3,2,"bustani","garden",0.207198461538461,"48","easy",147,0
19,3,2,"roho","soul",0.199686567164179,"44","easy",148,0
30,3,2,"ajabu","wonder",0.315165151515151,"52","difficult",149,0
22,3,2,"lango","door",0.219891044776119,"45","easy",150,0
29,3,2,"kijana","boy",0.353060606060606,"64","difficult",151,0
26,3,2,"maslahi","interest",0.305624242424242,"56","difficult",152,0
18,3,2,"baskeli","bike",0.214457575757576,"20","easy",153,0
27,3,2,"kitanda","bed",0.368722388059701,"69","difficult",154,0
20,3,2,"ufu","death",0.170078787878788,"75","easy",155,0
25,3,2,"samaki","fish",0.294386567164179,"3","difficult",156,0
28,3,2,"barua","letter",0.319181818181818,"31","difficult",157,0
32,3,2,"tumaini","hope",0.302354545454546,"53","difficult",158,0
17,3,2,"kuku","chicken",0.183198461538461,"11","easy",159,0
21,3,2,"mbwa","dog",0.18435303030303,"29","easy",160,0
31,4,2,"karamu","party",0.344718181818182,"32","difficult",161,0
26,4,2,"maslahi","interest",0.305624242424242,"56","difficult",162,0
30,4,2,"ajabu","wonder",0.315165151515151,"52","difficult",163,0
29,4,2,"kijana","boy",0.353060606060606,"64","difficult",164,0
24,4,2,"bustani","garden",0.207198461538461,"48","easy",165,0
22,4,2,"lango","door",0.219891044776119,"45","easy",166,0
19,4,2,"roho","soul",0.199686567164179,"44","easy",167,0
32,4,2,"tumaini","hope",0.302354545454546,"53","difficult",168,0
17,4,2,"kuku","chicken",0.183198461538461,"11","easy",169,0
21,4,2,"mbwa","dog",0.18435303030303,"29","easy",170,0
18,4,2,"baskeli","bike",0.214457575757576,"20","easy",171,0
23,4,2,"basi","bus",0.209593846153846,"57","easy",172,0
28,4,2,"barua","letter",0.319181818181818,"31","difficult",173,0
27,4,2,"kitanda","bed",0.368722388059701,"69","difficult",174,0
20,4,2,"ufu","death",0.170078787878788,"75","easy",175,0
25,4,2,"samaki","fish",0.294386567164179,"3","difficult",176,0
24,5,2,"bustani","garden",0.207198461538461,"48","easy",177,0
17,5,2,"kuku","chicken",0.183198461538461,"11","easy",178,0
19,5,2,"roho","soul",0.199686567164179,"44","easy",179,0
21,5,2,"mbwa","dog",0.18435303030303,"29","easy",180,0
30,5,2,"ajabu","wonder",0.315165151515151,"52","difficult",181,0
28,5,2,"barua","letter",0.319181818181818,"31","difficult",182,0
31,5,2,"karamu","party",0.344718181818182,"32","difficult",183,0
20,5,2,"ufu","death",0.170078787878788,"75","easy",184,0
25,5,2,"samaki","fish",0.294386567164179,"3","difficult",185,0
27,5,2,"kitanda","bed",0.368722388059701,"69","difficult",186,0
29,5,2,"kijana","boy",0.353060606060606,"64","difficult",187,0
18,5,2,"baskeli","bike",0.214457575757576,"20","easy",188,0
32,5,2,"tumaini","hope",0.302354545454546,"53","difficult",189,0
23,5,2,"basi","bus",0.209593846153846,"57","easy",190,0
22,5,2,"lango","door",0.219891044776119,"45","easy",191,0
26,5,2,"maslahi","interest",0.305624242424242,"56","difficult",192,1
45,0,3,"kamba","rope",0.355907575757576,"62","difficult",193,0
44,0,3,"askari","police",0.347927272727273,"9","difficult",194,0
36,0,3,"degaga","glasses",0.207071212121212,"54","easy",195,0
43,0,3,"tabibu","doctor",0.275992424242424,"35","difficult",196,0
41,0,3,"chanjo","scissors",0.351680597014926,"26","difficult",197,0
38,0,3,"pombe","beer",0.178725757575757,"2","easy",198,0
39,0,3,"dhoruba","storm",0.216794029850746,"63","easy",199,0
47,0,3,"chama","society",0.315827272727273,"50","difficult",200,0
42,0,3,"likizo","holays",0.307474242424242,"17","difficult",201,0
48,0,3,"tunda","fruit",0.287647692307692,"22","difficult",202,0
33,0,3,"siri","secret",0.191309230769231,"49","easy",203,0
40,0,3,"kiti","chair",0.222518181818182,"68","easy",204,0
37,0,3,"saduku","box",0.212204615384615,"73","easy",205,0
46,0,3,"chunga","pot",0.369626865671642,"36","difficult",206,0
35,0,3,"limau","lemon",0.158680303030303,"61","easy",207,0
