"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct"
14,0,1,"tabibu","doctor",0.275992424242424,"35","difficult",1,0
10,0,1,"fasihi","book",0.386646268656716,"12","difficult",2,0
15,0,1,"duara","wheel",0.287497014925373,"19","difficult",3,0
8,0,1,"kiti","chair",0.222518181818182,"68","easy",4,0
3,0,1,"roho","soul",0.199686567164179,"44","easy",5,0
1,0,1,"kuku","chicken",0.183198461538461,"11","easy",6,0
11,0,1,"chama","society",0.315827272727273,"50","difficult",7,0
12,0,1,"kitanda","bed",0.368722388059701,"69","difficult",8,0
7,0,1,"limau","lemon",0.158680303030303,"61","easy",9,0
9,0,1,"afisi","office",0.34374,"5","difficult",10,0
4,0,1,"lango","door",0.219891044776119,"45","easy",11,0
6,0,1,"pombe","beer",0.178725757575757,"2","easy",12,0
13,0,1,"chanjo","scissors",0.351680597014926,"26","difficult",13,0
16,0,1,"askari","police",0.347927272727273,"9","difficult",14,0
2,0,1,"adhama","honor",0.225168181818182,"33","easy",15,0
5,0,1,"saduku","box",0.212204615384615,"73","easy",16,0
14,1,1,"tabibu","doctor",0.275992424242424,"35","difficult",17,0
3,1,1,"roho","soul",0.199686567164179,"44","easy",18,0
15,1,1,"duara","wheel",0.287497014925373,"19","difficult",19,0
9,1,1,"afisi","office",0.34374,"5","difficult",20,0
8,1,1,"kiti","chair",0.222518181818182,"68","easy",21,0
2,1,1,"adhama","honor",0.225168181818182,"33","easy",22,0
11,1,1,"chama","society",0.315827272727273,"50","difficult",23,0
7,1,1,"limau","lemon",0.158680303030303,"61","easy",24,0
10,1,1,"fasihi","book",0.386646268656716,"12","difficult",25,0
13,1,1,"chanjo","scissors",0.351680597014926,"26","difficult",26,0
4,1,1,"lango","door",0.219891044776119,"45","easy",27,0
16,1,1,"askari","police",0.347927272727273,"9","difficult",28,0
5,1,1,"saduku","box",0.212204615384615,"73","easy",29,0
12,1,1,"kitanda","bed",0.368722388059701,"69","difficult",30,0
6,1,1,"pombe","beer",0.178725757575757,"2","easy",31,0
1,1,1,"kuku","chicken",0.183198461538461,"11","easy",32,0
3,2,1,"roho","soul",0.199686567164179,"44","easy",33,0
13,2,1,"chanjo","scissors",0.351680597014926,"26","difficult",34,0
9,2,1,"afisi","office",0.34374,"5","difficult",35,0
2,2,1,"adhama","honor",0.225168181818182,"33","easy",36,0
8,2,1,"kiti","chair",0.222518181818182,"68","easy",37,0
5,2,1,"saduku","box",0.212204615384615,"73","easy",38,0
10,2,1,"fasihi","book",0.386646268656716,"12","difficult",39,0
12,2,1,"kitanda","bed",0.368722388059701,"69","difficult",40,0
14,2,1,"tabibu","doctor",0.275992424242424,"35","difficult",41,0
1,2,1,"kuku","chicken",0.183198461538461,"11","easy",42,0
7,2,1,"limau","lemon",0.158680303030303,"61","easy",43,0
15,2,1,"duara","wheel",0.287497014925373,"19","difficult",44,0
11,2,1,"chama","society",0.315827272727273,"50","difficult",45,0
4,2,1,"lango","door",0.219891044776119,"45","easy",46,0
16,2,1,"askari","police",0.347927272727273,"9","difficult",47,0
6,2,1,"pombe","beer",0.178725757575757,"2","easy",48,0
9,3,1,"afisi","office",0.34374,"5","difficult",49,0
3,3,1,"roho","soul",0.199686567164179,"44","easy",50,0
12,3,1,"kitanda","bed",0.368722388059701,"69","difficult",51,0
8,3,1,"kiti","chair",0.222518181818182,"68","easy",52,0
13,3,1,"chanjo","scissors",0.351680597014926,"26","difficult",53,0
15,3,1,"duara","wheel",0.287497014925373,"19","difficult",54,0
14,3,1,"tabibu","doctor",0.275992424242424,"35","difficult",55,0
2,3,1,"adhama","honor",0.225168181818182,"33","easy",56,0
1,3,1,"kuku","chicken",0.183198461538461,"11","easy",57,0
4,3,1,"lango","door",0.219891044776119,"45","easy",58,0
10,3,1,"fasihi","book",0.386646268656716,"12","difficult",59,0
16,3,1,"askari","police",0.347927272727273,"9","difficult",60,0
11,3,1,"chama","society",0.315827272727273,"50","difficult",61,0
6,3,1,"pombe","beer",0.178725757575757,"2","easy",62,0
5,3,1,"saduku","box",0.212204615384615,"73","easy",63,0
7,3,1,"limau","lemon",0.158680303030303,"61","easy",64,0
12,4,1,"kitanda","bed",0.368722388059701,"69","difficult",65,0
14,4,1,"tabibu","doctor",0.275992424242424,"35","difficult",66,0
4,4,1,"lango","door",0.219891044776119,"45","easy",67,0
3,4,1,"roho","soul",0.199686567164179,"44","easy",68,0
2,4,1,"adhama","honor",0.225168181818182,"33","easy",69,0
11,4,1,"chama","society",0.315827272727273,"50","difficult",70,0
7,4,1,"limau","lemon",0.158680303030303,"61","easy",71,0
1,4,1,"kuku","chicken",0.183198461538461,"11","easy",72,0
13,4,1,"chanjo","scissors",0.351680597014926,"26","difficult",73,0
9,4,1,"afisi","office",0.34374,"5","difficult",74,0
10,4,1,"fasihi","book",0.386646268656716,"12","difficult",75,0
6,4,1,"pombe","beer",0.178725757575757,"2","easy",76,0
16,4,1,"askari","police",0.347927272727273,"9","difficult",77,0
8,4,1,"kiti","chair",0.222518181818182,"68","easy",78,0
5,4,1,"saduku","box",0.212204615384615,"73","easy",79,0
15,4,1,"duara","wheel",0.287497014925373,"19","difficult",80,0
9,5,1,"afisi","office",0.34374,"5","difficult",81,0
4,5,1,"lango","door",0.219891044776119,"45","easy",82,0
13,5,1,"chanjo","scissors",0.351680597014926,"26","difficult",83,0
3,5,1,"roho","soul",0.199686567164179,"44","easy",84,0
7,5,1,"limau","lemon",0.158680303030303,"61","easy",85,0
12,5,1,"kitanda","bed",0.368722388059701,"69","difficult",86,0
15,5,1,"duara","wheel",0.287497014925373,"19","difficult",87,0
5,5,1,"saduku","box",0.212204615384615,"73","easy",88,0
10,5,1,"fasihi","book",0.386646268656716,"12","difficult",89,0
6,5,1,"pombe","beer",0.178725757575757,"2","easy",90,0
8,5,1,"kiti","chair",0.222518181818182,"68","easy",91,0
14,5,1,"tabibu","doctor",0.275992424242424,"35","difficult",92,0
2,5,1,"adhama","honor",0.225168181818182,"33","easy",93,0
11,5,1,"chama","society",0.315827272727273,"50","difficult",94,0
16,5,1,"askari","police",0.347927272727273,"9","difficult",95,0
1,5,1,"kuku","chicken",0.183198461538461,"11","easy",96,1
26,0,2,"chunga","pot",0.369626865671642,"36","difficult",97,0
32,0,2,"karamu","party",0.344718181818182,"32","difficult",98,0
29,0,2,"sauti","voice",0.3337796875,"14","difficult",99,0
18,0,2,"tofaa","apple",0.200788059701493,"67","easy",100,0
22,0,2,"ufu","death",0.170078787878788,"75","easy",101,0
28,0,2,"kamba","rope",0.355907575757576,"62","difficult",102,0
23,0,2,"dhoruba","storm",0.216794029850746,"63","easy",103,0
21,0,2,"maji","ice",0.223059090909091,"72","easy",104,0
20,0,2,"skati","skirt",0.167559090909091,"37","easy",105,0
30,0,2,"tunda","fruit",0.287647692307692,"22","difficult",106,0
27,0,2,"ajabu","wonder",0.315165151515151,"52","difficult",107,0
25,0,2,"kanisa","church",0.399588059701493,"51","difficult",108,0
24,0,2,"mbwa","dog",0.18435303030303,"29","easy",109,0
19,0,2,"degaga","glasses",0.207071212121212,"54","easy",110,0
31,0,2,"duka","shop",0.294655384615385,"24","difficult",111,0
17,0,2,"siri","secret",0.191309230769231,"49","easy",112,0
29,1,2,"sauti","voice",0.3337796875,"14","difficult",113,0
20,1,2,"skati","skirt",0.167559090909091,"37","easy",114,0
23,1,2,"dhoruba","storm",0.216794029850746,"63","easy",115,0
32,1,2,"karamu","party",0.344718181818182,"32","difficult",116,0
26,1,2,"chunga","pot",0.369626865671642,"36","difficult",117,0
27,1,2,"ajabu","wonder",0.315165151515151,"52","difficult",118,0
25,1,2,"kanisa","church",0.399588059701493,"51","difficult",119,0
22,1,2,"ufu","death",0.170078787878788,"75","easy",120,0
21,1,2,"maji","ice",0.223059090909091,"72","easy",121,0
31,1,2,"duka","shop",0.294655384615385,"24","difficult",122,0
19,1,2,"degaga","glasses",0.207071212121212,"54","easy",123,0
30,1,2,"tunda","fruit",0.287647692307692,"22","difficult",124,0
24,1,2,"mbwa","dog",0.18435303030303,"29","easy",125,0
18,1,2,"tofaa","apple",0.200788059701493,"67","easy",126,0
17,1,2,"siri","secret",0.191309230769231,"49","easy",127,0
28,1,2,"kamba","rope",0.355907575757576,"62","difficult",128,0
20,2,2,"skati","skirt",0.167559090909091,"37","easy",129,0
23,2,2,"dhoruba","storm",0.216794029850746,"63","easy",130,0
27,2,2,"ajabu","wonder",0.315165151515151,"52","difficult",131,0
21,2,2,"maji","ice",0.223059090909091,"72","easy",132,0
31,2,2,"duka","shop",0.294655384615385,"24","difficult",133,0
17,2,2,"siri","secret",0.191309230769231,"49","easy",134,0
18,2,2,"tofaa","apple",0.200788059701493,"67","easy",135,0
22,2,2,"ufu","death",0.170078787878788,"75","easy",136,0
32,2,2,"karamu","party",0.344718181818182,"32","difficult",137,0
28,2,2,"kamba","rope",0.355907575757576,"62","difficult",138,0
24,2,2,"mbwa","dog",0.18435303030303,"29","easy",139,0
30,2,2,"tunda","fruit",0.287647692307692,"22","difficult",140,0
29,2,2,"sauti","voice",0.3337796875,"14","difficult",141,0
25,2,2,"kanisa","church",0.399588059701493,"51","difficult",142,0
19,2,2,"degaga","glasses",0.207071212121212,"54","easy",143,0
26,2,2,"chunga","pot",0.369626865671642,"36","difficult",144,0
28,3,2,"kamba","rope",0.355907575757576,"62","difficult",145,0
23,3,2,"dhoruba","storm",0.216794029850746,"63","easy",146,0
22,3,2,"ufu","death",0.170078787878788,"75","easy",147,0
17,3,2,"siri","secret",0.191309230769231,"49","easy",148,0
21,3,2,"maji","ice",0.223059090909091,"72","easy",149,0
24,3,2,"mbwa","dog",0.18435303030303,"29","easy",150,0
32,3,2,"karamu","party",0.344718181818182,"32","difficult",151,0
18,3,2,"tofaa","apple",0.200788059701493,"67","easy",152,0
31,3,2,"duka","shop",0.294655384615385,"24","difficult",153,0
20,3,2,"skati","skirt",0.167559090909091,"37","easy",154,0
19,3,2,"degaga","glasses",0.207071212121212,"54","easy",155,0
29,3,2,"sauti","voice",0.3337796875,"14","difficult",156,0
26,3,2,"chunga","pot",0.369626865671642,"36","difficult",157,0
27,3,2,"ajabu","wonder",0.315165151515151,"52","difficult",158,0
30,3,2,"tunda","fruit",0.287647692307692,"22","difficult",159,0
25,3,2,"kanisa","church",0.399588059701493,"51","difficult",160,0
32,4,2,"karamu","party",0.344718181818182,"32","difficult",161,0
24,4,2,"mbwa","dog",0.18435303030303,"29","easy",162,0
22,4,2,"ufu","death",0.170078787878788,"75","easy",163,0
31,4,2,"duka","shop",0.294655384615385,"24","difficult",164,0
18,4,2,"tofaa","apple",0.200788059701493,"67","easy",165,0
17,4,2,"siri","secret",0.191309230769231,"49","easy",166,0
23,4,2,"dhoruba","storm",0.216794029850746,"63","easy",167,0
25,4,2,"kanisa","church",0.399588059701493,"51","difficult",168,0
30,4,2,"tunda","fruit",0.287647692307692,"22","difficult",169,0
26,4,2,"chunga","pot",0.369626865671642,"36","difficult",170,0
27,4,2,"ajabu","wonder",0.315165151515151,"52","difficult",171,0
21,4,2,"maji","ice",0.223059090909091,"72","easy",172,0
20,4,2,"skati","skirt",0.167559090909091,"37","easy",173,0
29,4,2,"sauti","voice",0.3337796875,"14","difficult",174,0
28,4,2,"kamba","rope",0.355907575757576,"62","difficult",175,0
19,4,2,"degaga","glasses",0.207071212121212,"54","easy",176,0
17,5,2,"siri","secret",0.191309230769231,"49","easy",177,0
24,5,2,"mbwa","dog",0.18435303030303,"29","easy",178,0
23,5,2,"dhoruba","storm",0.216794029850746,"63","easy",179,0
32,5,2,"karamu","party",0.344718181818182,"32","difficult",180,0
25,5,2,"kanisa","church",0.399588059701493,"51","difficult",181,0
20,5,2,"skati","skirt",0.167559090909091,"37","easy",182,0
21,5,2,"maji","ice",0.223059090909091,"72","easy",183,0
26,5,2,"chunga","pot",0.369626865671642,"36","difficult",184,0
31,5,2,"duka","shop",0.294655384615385,"24","difficult",185,0
27,5,2,"ajabu","wonder",0.315165151515151,"52","difficult",186,0
30,5,2,"tunda","fruit",0.287647692307692,"22","difficult",187,0
18,5,2,"tofaa","apple",0.200788059701493,"67","easy",188,0
19,5,2,"degaga","glasses",0.207071212121212,"54","easy",189,0
28,5,2,"kamba","rope",0.355907575757576,"62","difficult",190,0
22,5,2,"ufu","death",0.170078787878788,"75","easy",191,0
29,5,2,"sauti","voice",0.3337796875,"14","difficult",192,1
33,0,3,"bustani","garden",0.207198461538461,"48","easy",193,0
40,0,3,"lugha","language",0.211571212121212,"25","easy",194,0
45,0,3,"wimbo","song",0.307741538461538,"13","difficult",195,0
46,0,3,"maslahi","interest",0.305624242424242,"56","difficult",196,0
36,0,3,"anga","sky",0.222377272727273,"27","easy",197,0
35,0,3,"baskeli","bike",0.214457575757576,"20","easy",198,0
48,0,3,"kichwa","head",0.3271421875,"46","difficult",199,0
42,0,3,"tumaini","hope",0.302354545454546,"53","difficult",200,0
41,0,3,"kijana","boy",0.353060606060606,"64","difficult",201,0
34,0,3,"baba","father",0.157121212121212,"59","easy",202,0
39,0,3,"bibi","grandmother",0.175557575757576,"34","easy",203,0
47,0,3,"samaki","fish",0.294386567164179,"3","difficult",204,0
43,0,3,"barua","letter",0.319181818181818,"31","difficult",205,0
38,0,3,"jicho","eye",0.210024615384615,"7","easy",206,0
44,0,3,"likizo","holays",0.307474242424242,"17","difficult",207,0
37,0,3,"basi","bus",0.209593846153846,"57","easy",208,0
41,1,3,"kijana","boy",0.353060606060606,"64","difficult",209,0
34,1,3,"baba","father",0.157121212121212,"59","easy",210,0
40,1,3,"lugha","language",0.211571212121212,"25","easy",211,0
33,1,3,"bustani","garden",0.207198461538461,"48","easy",212,0
35,1,3,"baskeli","bike",0.214457575757576,"20","easy",213,0
42,1,3,"tumaini","hope",0.302354545454546,"53","difficult",214,0
46,1,3,"maslahi","interest",0.305624242424242,"56","difficult",215,0
36,1,3,"anga","sky",0.222377272727273,"27","easy",216,0
37,1,3,"basi","bus",0.209593846153846,"57","easy",217,0
45,1,3,"wimbo","song",0.307741538461538,"13","difficult",218,0
47,1,3,"samaki","fish",0.294386567164179,"3","difficult",219,0
38,1,3,"jicho","eye",0.210024615384615,"7","easy",220,0
43,1,3,"barua","letter",0.319181818181818,"31","difficult",221,0
44,1,3,"likizo","holays",0.307474242424242,"17","difficult",222,0
48,1,3,"kichwa","head",0.3271421875,"46","difficult",223,0
39,1,3,"bibi","grandmother",0.175557575757576,"34","easy",224,0
37,2,3,"basi","bus",0.209593846153846,"57","easy",225,0
41,2,3,"kijana","boy",0.353060606060606,"64","difficult",226,0
42,2,3,"tumaini","hope",0.302354545454546,"53","difficult",227,0
36,2,3,"anga","sky",0.222377272727273,"27","easy",228,0
35,2,3,"baskeli","bike",0.214457575757576,"20","easy",229,0
45,2,3,"wimbo","song",0.307741538461538,"13","difficult",230,0
40,2,3,"lugha","language",0.211571212121212,"25","easy",231,0
48,2,3,"kichwa","head",0.3271421875,"46","difficult",232,0
34,2,3,"baba","father",0.157121212121212,"59","easy",233,0
47,2,3,"samaki","fish",0.294386567164179,"3","difficult",234,0
39,2,3,"bibi","grandmother",0.175557575757576,"34","easy",235,0
43,2,3,"barua","letter",0.319181818181818,"31","difficult",236,0
38,2,3,"jicho","eye",0.210024615384615,"7","easy",237,0
46,2,3,"maslahi","interest",0.305624242424242,"56","difficult",238,0
44,2,3,"likizo","holays",0.307474242424242,"17","difficult",239,0
33,2,3,"bustani","garden",0.207198461538461,"48","easy",240,0
37,3,3,"basi","bus",0.209593846153846,"57","easy",241,0
45,3,3,"wimbo","song",0.307741538461538,"13","difficult",242,0
42,3,3,"tumaini","hope",0.302354545454546,"53","difficult",243,0
41,3,3,"kijana","boy",0.353060606060606,"64","difficult",244,0
