item_rand,rep,block,swahili,english,alpha,ID,diff,trial,instruct,exposure,dynamic
20,3,2,adhama,honor,0.225168182,33,easy,95,0,3000,1
18,3,2,dhoruba,storm,0.21679403,63,easy,96,0,3000,1
21,3,2,lango,door,0.219891045,45,easy,97,0,3000,1
30,3,2,kichwa,head,0.327142188,46,difficult,98,0,3000,1
29,3,2,chanjo,scissors,0.351680597,26,difficult,99,0,3000,1
28,3,2,wimbo,song,0.307741538,13,difficult,100,0,3000,1
19,4,2,tofaa,apple,0.20078806,67,easy,101,0,3000,1
27,4,2,kitanda,bed,0.368722388,69,difficult,102,0,3000,1
26,4,2,tabibu,doctor,0.275992424,35,difficult,103,0,3000,1
30,4,2,kichwa,head,0.327142188,46,difficult,104,0,3000,1
28,4,2,wimbo,song,0.307741538,13,difficult,105,0,3000,1
21,4,2,lango,door,0.219891045,45,easy,106,0,3000,1
20,4,2,adhama,honor,0.225168182,33,easy,107,0,3000,1
29,4,2,chanjo,scissors,0.351680597,26,difficult,108,0,3000,1
24,4,2,pombe,beer,0.178725758,2,easy,109,0,3000,1
18,4,2,dhoruba,storm,0.21679403,63,easy,110,0,3000,1
24,5,2,pombe,beer,0.178725758,2,easy,111,0,3000,1
19,5,2,tofaa,apple,0.20078806,67,easy,112,0,3000,1
29,5,2,chanjo,scissors,0.351680597,26,difficult,113,0,3000,1
28,5,2,wimbo,song,0.307741538,13,difficult,114,0,3000,1
30,5,2,kichwa,head,0.327142188,46,difficult,115,0,3000,1
26,5,2,tabibu,doctor,0.275992424,35,difficult,116,0,3000,1
21,5,2,lango,door,0.219891045,45,easy,117,0,3000,1
27,5,2,kitanda,bed,0.368722388,69,difficult,118,0,3000,1
20,5,2,adhama,honor,0.225168182,33,easy,119,0,3000,1
18,5,2,dhoruba,storm,0.21679403,63,easy,120,0,3000,1
