"ID","alpha","block","diff","dynamic","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","rep","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","25","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","Male","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","0.287497014925373","1","difficult","0","wheel","2965","1366","370592","Ok","2550","3","wheel","2290","565.835760915551","duara","110416","366365","371778","369226","200698","366366","336914","369226","366934","198535","366934","31"
"50","0.315827272727273","1","difficult","0","society","2965","614","378504","Ok","2022","3","society","2046","869.8455668570843","chama","110416","374970","379914","377890","200698","374972","336914","377890","375842","198535","375842","32"
"11","0.183198461538461","1","easy","0","chicken","2965","1478","385880","Ok","4342","3","chicken","859","451.56728588549555","kuku","110416","383088","388746","384402","200698","383089","336914","384402","383541","198535","383541","33"
"69","0.368722388059701","1","difficult","0","bed","2965","710","394624","Ok","1342","3","bed","1192","795.3392431933148","kitanda","110416","391922","395258","393914","200698","391924","336914","393914","392721","198535","392720","34"
"12","0.386646268656716","1","difficult","0","book","2965","805","403896","Ok","1597","3","book","3691","962.1637525154425","fasihi","110416","398431","404690","403091","200698","398433","336914","403091","399397","198535","399397","35"
"68","0.222518181818182","1","easy","0","chair","2965","727","411513","Ok","1646","3","chair","2483","426.48809645632855","kiti","110416","407872","412434","410786","200698","407874","336914","410786","408301","198535","408301","36"
"45","0.219891044776119","1","easy","0","door","2965","670","420464","Ok","1238","3","door","3464","719.6461052399968","lango","110416","415605","421034","419794","200698","415607","336914","419794","416328","198535","416328","37"
"35","0.275992424242424","1","difficult","0","doctor","2965","726","426312","Ok","1806","3","doctor","801","569.1135094331543","tabibu","110416","424211","427394","425586","200698","424213","336914","425586","424783","198535","424783","38"
"61","0.158680303030303","1","easy","0","lemon","2965","654","433536","Ok","1366","3","lemon","1627","677.9889530302211","limau","110416","430573","434250","432882","200698","430575","336914","432882","431253","198535","431253","39"
"44","0.199686567164179","1","easy","0","soul","2965","558","439864","Ok","1302","3","soul","1154","707.107309308584","roho","110416","437441","440610","439306","200698","437442","336914","439306","438150","198535","438150","40"
