"ID","alpha","block","diff","dynamic","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","rep","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","Confirm","NA","NA","40","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","Female","NA","NA","40","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"49","0.191309230769231","1","easy","1","secret","2465","1162","187854","Ok","4722","0","secret","3183","782.3283816446083","siri","181517","181725","191416","186692","185696","181727","NA","186692","182511","182511","NA","1"
"26","0.351680597014926","1","difficult","1","scissors","2465","1","201509","Ok","2602","0","scissors","5785","629.4953750743501","chanjo","181517","194091","204112","201508","200512","194093","NA","201508","194725","194725","NA","2"
"19","0.287497014925373","1","difficult","1","wheel","2465","810","212678","Ok","3706","0","wheel","3440","641.0601638481903","duara","181517","206786","215576","211868","210872","206788","NA","211868","207430","207430","NA","3"
"12","0.386646268656716","1","difficult","1","book","2465","1928","225190","Ok","4048","0","book","3161","850.6550056097586","fasihi","181517","218247","227312","223262","222264","218248","NA","223262","219101","219101","NA","4"
"52","0.315165151515151","1","difficult","1","wonder","2465","1154","242918","Ok","3538","0","wonder","10061","712.8243888740686","ajabu","181517","229990","245304","241764","240768","229992","NA","241764","230705","230705","NA","5"
"75","0.170078787878788","1","easy","1","death","2465","562","256006","Ok","2530","0","death","5683","785.1826713444175","ufu","181517","247975","257976","255444","254448","247977","NA","255444","248763","248763","NA","6"
"44","0.199686567164179","1","easy","1","soul","2465","706","269526","Ok","2602","0","soul","6519","632.4316739094988","roho","181517","260668","271424","268820","267824","260670","NA","268820","261303","261303","NA","7"
"73","0.212204615384615","1","easy","1","box","2465","1162","280046","Ok","2074","0","box","2917","865.7706463753126","saduku","181517","274099","280960","278884","277888","274101","NA","278884","274969","274969","NA","8"
"20","0.214457575757576","1","easy","1","bike","2465","1002","289998","Ok","2482","0","bike","3733","622.6897807126268","baskeli","181517","283640","291480","288996","288000","283642","NA","288996","284265","284265","NA","9"
"22","0.287647692307692","1","difficult","1","fruit","2465","970","302286","Ok","2610","0","fruit","5471","689.9860024184924","tunda","181517","294155","303928","301316","300320","294157","NA","301316","294847","294847","NA","10"
"12","0.386646268656716","1","difficult","1","book","1965","1694","310462","Ok","3046","1","book","1597","545.0746754368029","fasihi","181517","306620","311816","308768","300320","306623","NA","308768","307169","294847","307169","11"
"52","0.315165151515151","1","difficult","1","wonder","1965","1470","318750","Ok","3390","1","wonder","2381","904.174114769887","ajabu","181517","313988","320672","317280","300320","313990","NA","317280","314897","294847","314897","12"
"19","0.287497014925373","1","difficult","1","wheel","1965","1382","326342","Ok","4398","1","wheel","1442","670.5534193724502","duara","181517","322844","329360","324960","300320","322845","NA","324960","323516","294847","323516","13"
"22","0.287647692307692","1","difficult","1","fruit","1965","1118","338262","Ok","2302","1","fruit","5124","482.4420960219464","tunda","181517","331533","339448","337144","300320","331534","NA","337144","332018","294847","332018","14"
"75","0.170078787878788","1","easy","1","death","1965","958","344478","Ok","2150","1","death","1406","485.0014571762076","ufu","181517","341625","345672","343520","300320","341626","NA","343520","342112","294847","342112","15"
"73","0.212204615384615","1","easy","1","box","1965","998","351094","Ok","1838","1","box","1664","583.6867828408692","saduku","181517","347844","351936","350096","300320","347846","NA","350096","348430","294847","348430","16"
"44","0.199686567164179","1","easy","1","soul","1965","1006","357678","Ok","2102","1","soul","1732","824.0176458644553","roho","181517","354111","358776","356672","300320","354113","NA","356672","354938","294847","354938","17"
"26","0.351680597014926","1","difficult","1","scissors","1965","894","366094","Ok","3102","1","scissors","3494","752.6932160849058","chanjo","181517","360950","368304","365200","300320","360951","NA","365200","361704","294847","361704","18"
"49","0.191309230769231","1","easy","1","secret","1965","734","373982","Ok","2590","1","secret","2035","728.9097341547048","siri","181517","370480","375840","373248","300320","370482","NA","373248","371211","294847","371211","19"
"20","0.214457575757576","1","easy","1","bike","1965","862","381774","Ok","2046","1","bike","2279","610.2630611210529","baskeli","181517","378018","382960","380912","300320","378020","NA","380912","378631","294847","378631","20"
"19","0.287497014925373","1","difficult","1","wheel","1465","638","388462","Ok","2886","2","wheel","1816","866.736161545223","duara","181517","385136","390712","387824","300320","385138","NA","387824","386006","294847","386006","21"
"20","0.214457575757576","1","easy","1","bike","1465","1062","395878","Ok","2190","2","bike","1537","886.8947129644605","baskeli","181517","392386","397008","394816","300320","392388","NA","394816","393277","294847","393277","22"
"52","0.315165151515151","1","difficult","1","wonder","1465","1014","403174","Ok","2430","2","wonder","2530","945.9594117084148","ajabu","181517","398680","404592","402160","300320","398682","NA","402160","399628","294847","399628","23"
"26","0.351680597014926","1","difficult","1","scissors","1465","638","409206","Ok","3118","2","scissors","1846","451.5584199215425","chanjo","181517","406267","411688","408568","300320","406268","NA","408568","406720","294847","406720","24"
