"ID","alpha","block","diff","dynamic","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","rep","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","24","NA","NA","24","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","Male","NA","NA","24","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","0.347927272727273","1","difficult","0","police","2965","2482","85135","Ok","6018","0","police","2775","873.6351646187527","askari","77799","78004","88673","82653","81657","78006","NA","82653","78880","78880","NA","1"
"53","0.302354545454546","1","difficult","0","hope","2965","778","97511","Ok","1802","0","hope","3445","435.499009564386","tumaini","77799","91852","98537","96733","95737","91854","NA","96733","92290","92290","NA","2"
"45","0.219891044776119","1","easy","0","door","2965","12254","115655","Ok","13214","0","door","1","685.8307570690422","lango","77799","101712","116617","103401","102405","101714","NA","103401","102402","102402","NA","3"
"37","0.167559090909091","1","easy","0","skirt","2965","858","124503","Ok","2738","0","skirt","1980","856.7431942503899","skati","77799","119808","126385","123645","122649","119810","NA","123645","120667","120667","NA","4"
"63","0.216794029850746","1","easy","0","storm","2965","738","135247","Ok","2010","0","storm","3465","464.06588913388305","dhoruba","77799","129579","136521","134509","133513","129581","NA","134509","130046","130046","NA","5"
"56","0.305624242424242","1","difficult","0","interest","2965","1114","146703","Ok","2138","0","interest","4014","879.377087872875","maslahi","77799","139695","147729","145589","144593","139697","NA","145589","140577","140577","NA","6"
"26","0.351680597014926","1","difficult","0","scissors","2965","1146","156743","Ok","2786","0","scissors","2888","793.789922574932","chanjo","77799","150914","158385","155597","154601","150916","NA","155597","151711","151711","NA","7"
"62","0.355907575757576","1","difficult","0","rope","2965","1546","166999","Ok","2866","0","rope","2237","650.0131574741133","kamba","77799","161564","168321","165453","164457","161566","NA","165453","162218","162218","NA","8"
"54","0.207071212121212","1","easy","0","glasses","2965","1178","176439","Ok","2578","0","glasses","1902","843.955921840917","degaga","77799","171514","177841","175261","174265","171516","NA","175261","172361","172361","NA","9"
"67","0.200788059701493","1","easy","0","apple","2965","506","185463","Ok","1986","0","apple","2264","680.6098717933319","tofaa","77799","181013","186945","184957","183961","181014","NA","184957","181695","181695","NA","10"
"62","0.355907575757576","1","difficult","0","rope","2965","854","199279","Ok","1742","1","rope","7879","414.0668399217228","kamba","77799","190127","200169","198425","183961","190129","NA","198425","190544","181695","190544","11"
"53","0.302354545454546","1","difficult","0","hope","2965","1206","210295","Ok","3462","1","police","4817","924.7350731271439","tumaini","77799","203343","200169","209089","183961","203344","212553","209089","204270","181695","204270","12"
"45","0.219891044776119","1","easy","0","door","2965","606","219599","Ok","1422","1","door","2654","603.7597835757992","lango","77799","215730","220417","218993","183961","215732","212553","218993","216337","181695","216337","13"
"9","0.347927272727273","1","difficult","0","police","2965","502","226767","Ok","1910","1","police","2126","537.5604931521212","askari","77799","223597","228177","226265","183961","223599","212553","226265","224137","181695","224137","14"
"54","0.207071212121212","1","easy","0","glasses","2965","622","235119","Ok","3358","1","glasses","2543","595.8029990091355","degaga","77799","231354","237857","234497","183961","231356","212553","234497","231952","181695","231952","15"
"56","0.305624242424242","1","difficult","0","interest","2965","1030","246207","Ok","1710","1","book","3718","423.74598049027463","maslahi","77799","241030","237857","245177","183961","241032","246889","245177","241457","181695","241457","16"
"63","0.216794029850746","1","easy","0","storm","2965","1310","255775","Ok","3142","1","book","3971","400.29183835761336","dhoruba","77799","250089","237857","254465","183961","250091","257609","254465","250492","181695","250492","17"
"37","0.167559090909091","1","easy","0","skirt","2965","558","263511","Ok","2014","1","skirt","1267","890.3013455299101","skati","77799","260791","264969","262953","183961","260793","257609","262953","261684","181695","261684","18"
"67","0.200788059701493","1","easy","0","apple","2965","1270","273023","Ok","1998","1","book","2750","852.4771263119962","tofaa","77799","268145","264969","271753","183961","268147","273753","271753","269001","181695","269001","19"
"26","0.351680597014926","1","difficult","0","scissors","2965","5766","287103","Ok","6310","1","idk","3919","470.17352700090737","chanjo","77799","276943","264969","281337","183961","276945","287649","281337","277416","181695","277416","20"
"56","0.305624242424242","1","difficult","0","interest","2965","814","297199","Ok","2374","2","interest","4571","986.8179749220847","maslahi","77799","290822","298760","296385","183961","290824","287649","296385","291812","181695","291812","21"
"45","0.219891044776119","1","easy","0","door","2965","2031","304695","Ok","4007","2","door","1","718.3827391840371","lango","77799","301940","306673","302664","183961","301942","287649","302664","302661","181695","302661","22"
"54","0.207071212121212","1","easy","0","glasses","2965","710","312983","Ok","4646","2","glasses","1752","663.7442316434478","degaga","77799","309851","316920","312273","183961","309853","287649","312273","310519","181695","310519","23"
"67","0.200788059701493","1","easy","0","apple","2965","1695","329751","Ok","2455","2","book","7248","696.7346071241334","tofaa","77799","320106","316920","328056","183961","320108","330513","328057","320807","181695","320807","24"
"37","0.167559090909091","1","easy","0","skirt","2965","582","335911","Ok","1270","2","skirt","1095","539.6244369421532","skati","77799","333689","336600","335329","183961","333692","330513","335329","334232","181695","334232","25"
"62","0.355907575757576","1","difficult","0","rope","2965","1031","346415","Ok","1519","2","idk","4927","659.7902819719552","kamba","77799","339793","336600","345384","183961","339795","346904","345384","340456","181695","340456","26"
"26","0.351680597014926","1","difficult","0","scissors","2965","351","353383","Ok","2415","2","scissors","2256","675.9886482944928","chanjo","77799","350096","355449","353032","183961","350097","346904","353033","350775","181695","350775","27"
"63","0.216794029850746","1","easy","0","storm","2965","2815","366639","Ok","3247","2","idk","4444","749.8204153116494","dhoruba","77799","358627","355449","363824","183961","358629","367072","363824","359379","181695","359379","28"
"9","0.347927272727273","1","difficult","0","police","2965","430","373183","Ok","1374","2","police","1923","562.39404887146","askari","77799","370263","374128","372753","183961","370265","367072","372753","370828","181695","370828","29"
"53","0.302354545454546","1","difficult","0","hope","2965","750","382415","Ok","1478","2","apple","3676","663.2896533510316","tumaini","77799","377321","374128","381665","183961","377323","383144","381665","377987","181695","377987","30"
"54","0.207071212121212","1","easy","0","glasses","2965","1294","389383","Ok","2646","3","glasses","849","916.6409460936956","degaga","77799","386318","390736","388089","183961","386319","383144","388089","387238","181695","387238","31"
"37","0.167559090909091","1","easy","0","skirt","2965","271","396095","Ok","1023","3","skirt","1020","872.1988765566709","skati","77799","393928","396848","395824","183961","393930","383144","395824","394803","181695","394803","32"
"45","0.219891044776119","1","easy","0","door","2965","359","405239","Ok","1063","3","door","4287","567.0847026458766","lango","77799","400021","405945","404880","183961","400023","383144","404880","400592","181695","400592","33"
"62","0.355907575757576","1","difficult","0","rope","2965","1822","415823","Ok","2486","3","idk","3988","886.0987675917754","kamba","77799","409123","405945","414001","183961","409124","416488","414001","410011","181695","410011","34"
"9","0.347927272727273","1","difficult","0","police","2965","455","421567","Ok","1343","3","police","988","454.01956559009216","askari","77799","419666","422456","421112","183961","419667","416488","421112","420123","181695","420123","35"
"53","0.302354545454546","1","difficult","0","hope","2965","1135","429471","Ok","2111","3","hope","2247","453.06450696399327","tumaini","77799","425633","430448","428336","183961","425634","416488","428336","426088","181695","426088","36"
"26","0.351680597014926","1","difficult","0","scissors","2965","327","435679","Ok","1711","3","scissors","979","748.1760313726386","chanjo","77799","433621","437064","435352","183961","433623","416488","435352","434373","181695","434372","37"
"67","0.200788059701493","1","easy","0","apple","2965","455","444703","Ok","1079","3","rope","3153","836.7486829807849","tofaa","77799","440254","437064","444248","183961","440256","445328","444248","441094","181695","441094","38"
"63","0.216794029850746","1","easy","0","storm","2965","319","451183","Ok","1231","3","storm","1633","718.0608843924269","dhoruba","77799","448509","452096","450864","183961","448511","445328","450864","449230","181695","449230","39"
"56","0.305624242424242","1","difficult","0","interest","2965","623","459527","Ok","1543","3","interest","3174","453.13126994555387","maslahi","77799","455273","460448","458904","183961","455275","445328","458904","455729","181695","455729","40"
"62","0.355907575757576","1","difficult","0","rope","2965","6055","472767","Ok","6655","4","book","2506","578.449094471539","kamba","77799","463623","460448","466712","183961","463625","473368","466712","464205","181695","464205","41"
"54","0.207071212121212","1","easy","0","glasses","2965","335","479343","Ok","1255","4","glasses","1584","869.5947460627274","degaga","77799","476550","480264","479008","183961","476553","473368","479008","477423","181695","477423","42"
"9","0.347927272727273","1","difficult","0","police","2965","759","485815","Ok","1407","4","police","814","799.1654964435331","askari","77799","483439","486464","485056","183961","483441","473368","485056","484241","181695","484241","43"
"26","0.351680597014926","1","difficult","0","scissors","2965","390","492119","Ok","1342","4","scissors","1167","923.1575143157896","chanjo","77799","489634","493072","491729","183961","489636","473368","491729","490560","181695","490560","44"
"67","0.200788059701493","1","easy","0","apple","2965","1342","498399","Ok","1950","4","apple","5","798.5836353704732","tofaa","77799","496249","499008","497057","183961","496251","473368","497057","497050","181695","497050","45"
"56","0.305624242424242","1","difficult","0","interest","2965","767","505071","Ok","1559","4","interest","1582","522.7648268904285","maslahi","77799","502196","505864","504304","183961","502198","473368","504304","502721","181695","502721","46"
"63","0.216794029850746","1","easy","0","storm","2965","183","512143","Ok","1879","4","storm","1963","954.910225629881","dhoruba","77799","509039","513840","511960","183961","509041","473368","511960","509996","181695","509996","47"
"53","0.302354545454546","1","difficult","0","hope","2965","463","521295","Ok","1303","4","rope","3299","510.4048370551709","tumaini","77799","517019","513840","520832","183961","517021","522136","520832","517532","181695","517532","48"
"37","0.167559090909091","1","easy","0","skirt","2965","294","527758","Ok","1119","4","skirt","1211","937.960842511977","skati","77799","525309","528585","527464","183961","525311","522136","527464","526251","181695","526251","49"
"45","0.219891044776119","1","easy","0","door","2965","351","534303","Ok","782","4","door","1518","662.9171053567552","lango","77799","531767","534736","533952","183961","531769","522136","533952","532433","181695","532433","50"
"62","0.355907575757576","1","difficult","0","rope","2965","2958","543766","Ok","3518","5","rope","2040","833.898327270408","kamba","77799","537929","544328","540808","183961","537931","522136","540808","538767","181695","538767","51"
"63","0.216794029850746","1","easy","0","storm","2965","4887","553855","Ok","5855","5","hope","812","649.6225065231442","dhoruba","77799","547500","544328","548968","183961","547502","554824","548968","548154","181695","548154","52"
"37","0.167559090909091","1","easy","0","skirt","2965","319","559631","Ok","926","5","skirt","692","620.2694636540851","skati","77799","557997","560240","559312","183961","557998","554824","559312","558619","181695","558619","53"
"9","0.347927272727273","1","difficult","0","police","2965","1329","565734","Ok","2097","5","police","1","980.0871061445563","askari","77799","563418","566504","564405","183961","563420","554824","564406","564401","181695","564401","54"
"67","0.200788059701493","1","easy","0","apple","2965","254","572606","Ok","1086","5","apple","1885","766.2528007627532","tofaa","77799","569696","573440","572352","183961","569698","554824","572352","570465","181695","570465","55"
"45","0.219891044776119","1","easy","0","door","2965","1540","578718","Ok","4052","5","door","3","551.7958918571992","lango","77799","576615","581232","577178","183961","576617","554824","577178","577171","181695","577171","56"
"56","0.305624242424242","1","difficult","0","interest","2965","278","586998","Ok","3094","5","interest","1405","902.7142648709662","maslahi","77799","584408","589816","586720","183961","584410","554824","586720","585313","181695","585313","57"
"26","0.351680597014926","1","difficult","0","scissors","2965","238","596142","Ok","1550","5","scissors","1966","934.9480804578819","chanjo","77799","592999","597456","595904","183961","593001","554824","595904","593936","181695","593936","58"
"54","0.207071212121212","1","easy","0","glasses","2965","174","603574","Ok","1182","5","glasses","1766","995.9929382231717","degaga","77799","600632","604584","603400","183961","600634","554824","603400","601632","181695","601632","59"
"53","0.302354545454546","1","difficult","0","hope","2965","2030","616278","Ok","2590","5","hope","5689","798.0269171542186","tumaini","77799","607756","616840","614248","183961","607758","554824","614248","608557","181695","608557","60"
"34","0.175557575757576","2","easy","1","grandmother","2465","1120","630158","Ok","3288","0","grandmother","4230","940.7557461699233","bibi","77799","622864","632328","629038","628040","622866","554824","629038","623808","623808","608557","61"
"12","0.386646268656716","2","difficult","1","book","2465","970","639230","Ok","1674","0","book","1821","436.8950713882616","fasihi","77799","0","639936","638260","637264","0","554824","638260","635441","635441","608557","62"
"27","0.222377272727273","2","easy","1","sky","2465","1","646317","Ok","2554","0","sky","2220","483.5234640984018","anga","77799","642612","648872","646316","645320","642614","554824","646316","643098","643098","608557","63"
"17","0.307474242424242","2","difficult","1","holays","3965","1302","654326","Ok","7350","0","oops","1","457.8025393402712","likizo","77799","651565","648872","653024","652028","651566","660376","653024","652025","652025","608557","64"
"72","0.223059090909091","2","easy","1","ice","2465","514","671502","Ok","1330","0","ice","4758","678.1018293504021","maji","77799","664549","672320","670988","669992","664551","660376","670988","665232","665232","608557","65"
"61","0.158680303030303","2","easy","1","lemon","2465","562","678878","Ok","1394","0","lemon","1562","735.7411879847597","limau","77799","675018","679712","678316","677320","675020","660376","678316","675756","675756","608557","66"
"5","0.34374","2","difficult","1","office","2465","466","686758","Ok","1482","0","office","2108","797.8725457900401","afisi","77799","682387","687776","686292","685296","682388","660376","686292","683186","683186","608557","67"
"19","0.287497014925373","2","difficult","1","wheel","2465","514","695206","Ok","2202","0","wheel","2633","597.7289988918969","duara","77799","690462","696896","694692","693696","690463","660376","694692","691061","691061","608557","68"
"13","0.307741538461538","2","difficult","1","song","2465","482","703022","Ok","2138","0","song","1209","763.0158385080479","wimbo","77799","699567","704680","702540","701544","699569","660376","702540","700333","700333","608557","69"
"20","0.214457575757576","2","easy","1","bike","2465","442","710926","Ok","1226","0","bike","1339","788.6505823244665","baskeli","77799","707354","711712","710484","709488","707356","660376","710484","708147","708147","608557","70"
"20","0.214457575757576","2","easy","1","bike","1965","470","720918","Ok","982","1","bike","5572","484.7439978210948","baskeli","77799","714387","721432","720448","709488","714389","660376","720448","714874","708147","714874","71"
"5","0.34374","2","difficult","1","office","1965","542","725710","Ok","1358","1","office","981","571.1221461029563","afisi","77799","723609","726528","725168","709488","723611","660376","725168","724185","708147","724185","72"
"34","0.175557575757576","2","easy","1","grandmother","1965","742","733558","Ok","3598","1","grandmother","3136","958.6175379169563","bibi","77799","728715","736416","732816","709488","728717","660376","732816","729678","708147","729678","73"
"12","0.386646268656716","2","difficult","1","book","1965","2065","741670","Ok","2657","1","book","2","995.5908650816822","fasihi","77799","738601","742264","739605","709488","738602","660376","739605","739599","708147","739599","74"
"72","0.223059090909091","2","easy","1","ice","3465","486","747638","Ok","1278","1","holays","1950","765.0737217184437","maji","77799","744433","742264","747152","709488","744434","748432","747152","745200","708147","745200","75"
"27","0.222377272727273","2","easy","1","sky","3465","334","757718","Ok","670","1","idk","4849","419.86447028636195","anga","77799","752110","742264","757384","709488","752113","758056","757384","752533","708147","752533","76"
"61","0.158680303030303","2","easy","1","lemon","1965","382","763926","Ok","1222","1","lemon","927","882.0625984818671","limau","77799","761731","764768","763544","709488","761732","758056","763544","762615","708147","762615","77"
"13","0.307741538461538","2","difficult","1","song","3465","774","769566","Ok","1134","1","idk","1144","701.3274732905534","wimbo","77799","766942","764768","768792","709488","766944","769928","768792","767646","708147","767646","78"
"17","0.307474242424242","2","difficult","1","holays","3465","2578","776806","Ok","4394","1","holays","4","622.6690994190033","likizo","77799","773598","778624","774228","709488","773599","769928","774228","774222","708147","774222","79"
"19","0.287497014925373","2","difficult","1","wheel","3465","1294","798374","Ok","1662","1","idk","14249","524.4510947634265","duara","77799","782302","778624","797080","709488","782304","798744","797080","782829","708147","782829","80"
"34","0.175557575757576","2","easy","1","grandmother","1465","214","804470","Ok","1774","2","grandmother","1256","575.0213415505937","bibi","77799","802420","806032","804256","709488","802422","798744","804256","802998","708147","802998","81"
"19","0.287497014925373","2","difficult","1","wheel","4465","1734","812454","Ok","2078","2","idk","2214","794.9175602563275","duara","77799","807706","806032","810720","709488","807708","812800","810720","808504","708147","808504","82"
"13","0.307741538461538","2","difficult","1","song","2965","878","820854","Ok","2862","2","song","1777","702.594613092758","wimbo","77799","817492","822840","819976","709488","817494","812800","819976","818197","708147","818197","83"
"20","0.214457575757576","2","easy","1","bike","1465","518","828158","Ok","974","2","bike","1041","573.2795190957834","baskeli","77799","826021","828616","827640","709488","826023","812800","827640","826597","708147","826597","84"
"12","0.386646268656716","2","difficult","1","book","1465","1107","832302","Ok","1779","2","book","4","873.2907535453236","fasihi","77799","830313","832976","831195","709488","830315","812800","831195","831189","708147","831189","85"
"17","0.307474242424242","2","difficult","1","holays","2965","670","836598","Ok","1366","2","holays","701","568.928486038467","likizo","77799","834655","837296","835928","709488","834656","812800","835928","835225","708147","835225","86"
"61","0.158680303030303","2","easy","1","lemon","1465","1094","844030","Ok","2622","2","lemon","1897","562.3518443979502","limau","77799","840472","845560","842936","709488","840474","812800","842936","841037","708147","841037","87"
