"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct","dynamic"
20,4,2,"pombe","beer",0.178725757575757,2,0,101,0,1
25,4,2,"kanisa","church",0.399588059701493,51,1,102,0,1
22,4,2,"limau","lemon",0.158680303030303,61,0,103,0,1
31,4,2,"tumaini","hope",0.302354545454546,53,1,104,0,1
30,4,2,"kichwa","head",0.3271421875,46,1,105,0,1
28,4,2,"afisi","office",0.34374,5,1,106,0,1
23,4,2,"kuku","chicken",0.183198461538461,11,0,107,0,1
19,4,2,"dhoruba","storm",0.216794029850746,63,0,108,0,1
17,4,2,"roho","soul",0.199686567164179,44,0,109,0,1
27,4,2,"tunda","fruit",0.287647692307692,22,1,110,0,1
17,5,2,"roho","soul",0.199686567164179,44,0,111,0,1
27,5,2,"tunda","fruit",0.287647692307692,22,1,112,0,1
31,5,2,"tumaini","hope",0.302354545454546,53,1,113,0,1
28,5,2,"afisi","office",0.34374,5,1,114,0,1
23,5,2,"kuku","chicken",0.183198461538461,11,0,115,0,1
22,5,2,"limau","lemon",0.158680303030303,61,0,116,0,1
20,5,2,"pombe","beer",0.178725757575757,2,0,117,0,1
19,5,2,"dhoruba","storm",0.216794029850746,63,0,118,0,1
25,5,2,"kanisa","church",0.399588059701493,51,1,119,0,1
30,5,2,"kichwa","head",0.3271421875,46,1,120,0,1
